,Unnamed: 0,Name,Review,Sug/Com,Vader,sentiment_dict_sompound,TextBlob_Subjectivity,TextBlob_Polarity,flair_sentiment
20,21,TTD79,"
Waste of wood


This was an intended birthday present for a 13 year old music loving boy.I ordered it online for a friend in advance (she doesn't do online shopping).The return window is closed. The kid has his birthday. These are the pics I get.As it was a birthday gift, I did not open the carton.Now we are stuck with a new broken guitar and a broken dream.Such a shame!
",0,0,-0.5255,0.3338383838383838,0.0,0
21,22,anshul kumar,"
Product dimensions is not as mentioned


I'm reviewing this after 2 years.If you don't know how to play guitar you may like this at first impression.I thought I'll learn playing this then later buy a good one but this was worse decision.After playing for 3-4 months action got high and can't be correct because there is no truss rod.I recommend you do not ever buy any guitar without truss rod and also buy a decent guitar even for learning.It's not matter you are beginner or master everyone should have good gear.True thing is that have started playing with this guitar only so faced too much difficulty I wish you don't need to face the same.I'm Engineer and you know every engineer have a dream to play guitar 😁I recommend you to buyCort ad810Cort af510Yamaha f310/f280 (both is same)These all are under 10K
",0,1,0.9663,0.46399999999999997,1.0,0
22,23,Rakhi devi,"
Damaged product






                    The media could not be loaded.
                



 I am bit disappointed beacause product was damaged ,Soundbox was damaged on top, IRecord unboxing this Product  for evidence,.
",0,0,-0.875,0.625,0.0,0
23,24,Amazon Customer,"
Don't buy.






                    The media could not be loaded.
                



 The space between strings and fretboard is too much, Hence it will start making a buzzing sound within days, I got it yesterday and today it's making buzzing sound 🤦‍♀️ also due to too much space you'll need to press the strings way too hard which will hurt your fingers plus it makes playing guitar difficult. Action of guitar is not good. Truss road is not adjustable. Would not recommend this at all. Specially to beginners.It's cheap and looks good. Packaging and delivery service were also good. You can prolly buy it for photoshoot or as a showpiece though.  Don't buy it for playing or learning guitar.
",0,0,-0.3434,0.4836996336996337,1.0,0
24,25,Vibishan,"
About the best bang for your buck


I'm writing this a couple of days after delivery, and so far, I haven't had any trouble.Delivery-I'm very pleasantly surprised; it arrived within 24 hours as promised. Prime ftw.The packing was immaculate. A hard box, with the guitar covered and bubble-wrapped. The guitar bag was wrapped up in the box, along with the plectrums (0.71 mm), extra strings, and the guitar strap. The guitar itself was largely intact; it had a couple of tiny scratches, but they're so small, I couldn't even get a clear enough picture. It has metal strings and the knobs turn smoothly without resistance. Tuning the guitar didn't take long, and the resonance sounds pretty great.It's a simple sort of an instrument, without the frills of a Fender acoustic to adjust volume and tone, but for about 2k, with all the add-ons, I think it's an absolute steal.
",1,1,0.7984,0.5473809523809524,1.0,1
25,26,Karan Seth,"
Just go for it.


If you are a complete beginner and wish to start from a budget friendly Guitar, the this will perfectly suit you. The quality of the Guitar is amazing. Don't even think about anything else if you are tigh on budget. It's amazing. Got for ₹1,700 on sale.The delivery of the product was amazing. There was no way this could get damaged in transit.
",1,1,0.9545,0.7666666666666666,1.0,1
26,27,Kanhaiya Goyal,"
Pathetic


I had a very pathetic experience with this guitar.Don't buy this. Please read this completely.Disadvantages are as below1) strings are very tight and hard2) low quality strings3) sound quality average4) tuning pegs gets hard with time5) very small frets6) more gap between the fretboard and the strings.7) asymmetrical8) strings are very hard and it gives burning sensations every time i play the guitar.
",0,0,-0.7821,0.5930291005291005,0.0,0
27,28,ARUN DUBEY,"
Good Product for Photo Shoot


It looks beautiful if you are new to guitar like mebut if you know abc of guitar u will came to know you have been cheatedinside truss is missingscrew for adjustment of string is missingbiggest thing  hurt me is it was band in shape but finishing and other looks is excellentGood for Photo Shoot only
",1,0,-0.2144,0.6859090909090909,1.0,1
28,29,Deepankar Nagarale,"
Overall Review.


I have recieved this product and after analyzing the points are :-1. PACKING:- the packing was so good that there wasn't a scratch or dent on the outer part.2. CLOSING:- The guitar was enclosed in polythene, then a thick translucent white polythene cover, then by a cardboard box, first by the seller Juarez and over it amazon branding polythene.3. INSIDES:- there was a guitar, A cover, Two Pick 0.71mm, Guitar Shoulder Strap and 6 Strings.4. GUITAR:- The guitar was glossy, no scratch, no dent, no damage. CHECKED from all angles and with flash and light. The guitar received with fully precised packing and handling.5. PRODUCT REVIEW:- The strings were not tuned which is a good thing, you can tune as per your convenience. After tuning it sounds good, the eco and vibrations are quite lovely.Feedback:- If you are a beginer and wants your hands on a good guitar in best budget, this is what you are looking for. Buy it I will say.
",1,1,0.9663,0.39166666666666666,1.0,1
29,30,ashi,"
Features and my opinion


It is easy to use and light weight guitar.You can send the features here:-Black Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 PicksGreat looks with an innovative design to produce good quality soundFinger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, CutawayIncluded components: Acoustic Guitar with strap, Bag, Strings and 2 PicksLinden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel StringsI Hope you like my review please 👍👍👍
",1,1,0.9403,0.7366666666666667,1.0,1
30,31,akshay yadu,"
Broken string. Hurt my eye.


It broke my left eye. While tuning the cheap sting broke on my face like whip. I am hurt. Please guys don't buy. The extra stings they have provided doesn't have 6th string. 5th amd 6 th sting are same. I was trying to tune. It got my eye. Now its paining.
",0,0,-0.9246,0.265,0.0,0
31,32,Vinita,"
IT SUCKS


The first product I ordered had messed up string so j returned it.  As I got its replacement it's damaged. Either it's the manufacturer mistake or @ecomexpress mistake I don't know. But it sucks.Product however is worth it as my friend is still using the same product. I would suggest to go a nearby store and buy it firsthand NO WAITING AND ALL THIS RETURNIG RECEIVING STRUGGLE
",0,0,-0.8159,0.21458333333333332,0.0,0
32,33,Parth,"
Honest review


Good presentation.Average built quality.Average sound quality.In less than 2k it's worth the money.If you are a beginner like me who don't have more than 2k, can buy this Guitar or If you are like me who's not sure whether you can make a habit of playing guitar every day can buy this. But if you get serious about learning Guitar eventually in few months you have to upgrade this.
",1,1,0.6725,0.4691358024691357,1.0,0
33,34,AKANKSHA G.,"
Not worth it at all... Please read the details mentioned in this review.


This product is not worthy enough to purchase. It's heavily coated with paint to hide the flaws, however after 3 days of keeping it in the same cardboard box in which it was delivered the paint which was already coming out a bit, started to come out a lot on its own revealind the actual material used, the neck of the guitar and most of the material is plastic, not wood. I took the guitar to a professional who confirmed it and clearly said that even the sound from this guitar is not accurate or even close to 'accurate'. I didn't play it yet, took it to get tuned, and it turns out that it cannot be tuned properly as well. The strings even after tightening are loosing their grip and as a result after a point it will break or come out as per what the professional told me. Its not worth at all.. it'd be better to move it and go to a shop and purchase it in person. This is not for either 'Beginners' or anyone.. WORST PRODUCT EVER ORDERED! AND I WANT MY MONEY BACK.. I saved money especially for a guitar and now i regret ordering it..
",0,0,-0.3749,0.4654761904761905,0.0,0
34,35,Swarup,"
Excellent item for beginners


Received everything intact in the package. Brand new guitar. Excellent quality for the price. My daughter is extremely happy with her gift. Highly recommended for beginners. Will have to see its longevity.
",1,1,0.953,0.7989090909090909,1.0,1
35,36,Chetana Thakur Chakraborty,"
Perfect for a beginner.


I absolutely love this guitar. It sounds perfect. Also, it comes with a spare set of strings. This is a great product for someone who is just starting to play the instrument and does not have much experience. Altogether, it is worth buying at such a discounted price.
",1,1,0.9661,0.53125,1.0,1
36,37,jagannath volvoikar,"
Beginner stuff!!awsom product


Product is awsmVery good for beginners like me if you are beginner and dont know anything about guitar than go for this product really value for money .
",1,1,0.8261,0.4,1.0,1
37,38,Ryan Carneiro,"
I am a guitar teacher and this guitar is a nightmare


4 of my students already purchased this guitar before coming to me for classes and there are lot of issues in this guitar. For starters, intonation is really bad (which means 'besura' notes in layman's language) The bridge will come out after few months because the quality is cheap. One student has already faced this issue. There is no 'truss rod' as well which means there is no way to adjust action. And there are many more issues which a non-musician won't understand. If you go on OLX, you'll find many of this same guitar lying there to be sold 2nd hand because after joining guitar class and showing it to their guitar teacher, students realize how horrible the guitar is. A humble request for beginners - please don't buy guitar BEFORE joining guitar class. Your guitar teacher doesn't deserve that kind of torture to their EARS! 🤣 Ask your teacher first, and then buy. Don't trust your own judgement. Just because something makes SOUND doesn't mean it's good to use. This is more like a toy, not a guitar. Don't trust the reviews here as well. Majority of these reviews are written by beginners who have bad or average music-sense! Also, kindly upvote this review (click on the helpful button so that it appears on top) I am fed up of seeing this guitar in my class. If I see one more of this guitar in my class I swear I'll go crazy! Click on the HELPFUL button. I want every damn beginner in the world to read this!
",0,0,-0.8942,0.5366319444444445,1.0,0
38,39,Mahak,"
Perfect gift


Purchased this a year ago and gifted to my love. Happy with thia purchase as it is still in good condition. Thanks amazon
",1,1,0.9682,0.7333333333333334,1.0,1
39,40,Anoop Kiran A,"
Best for beginners


The product is shorter than most. Its the best for beginners to learn and it also has extra strings and 2 picks with a bag and a strap.If you are looking for a wat to pass time in learning guitar this is the best way to go.
",1,1,0.9308,0.30000000000000004,1.0,1
40,41,Murshid Husain,"
Good to hang in your bedroom, not to play.!


I've played a handful of guitars before. This is the worst I've ever touched with my hand.!It's no good even for beginners. The fretboard is so small so that you won't be able to play any chord without annoyed by the fingers touching other strings. The action is extremely high which will result in not just pain, 'injuries' in your fingertips.And the main problem I faced - the low e string is placed out of the fretboard so it cannot be played at all. Refer the picture.The sound quality is fine and comes in a cheap packaging. But considering the quality of the product inside - that's fine.If you are looking for a toy or decoration for your home, you can choose this.If you want to learn or play a guitar, spend a little more money and get a better one
",0,1,0.817,0.5151851851851852,1.0,0
41,42,Hariharan,"
Worst product ever


Very bad. Please my comments. Never buy this guitar in your life. E string will break. So bad quality. Can't tune that string either. Did not get bag and accessories also first time. On return I got the accessories. But the B and E string were not getting tuned proper again. The tuner knob doesn't retain tension well on the strings.
",0,0,-0.6889,0.5933333333333334,0.0,0
42,43,Roushan Jha,"
Awesomely Insane!! Best At This Range!!


At this price, you kidding me?It is just awesome. Product awesome and delivery awesome.I got everything at 2490. Not bad, huh?
",1,1,0.9475,0.7933333333333332,1.0,1
43,44,Hemant,"
Budget guitar for Beginners.






                    The media could not be loaded.
                



 Good for absolute beginners who doesn't know how to even hold a guitar. It's light weight & handy. Base is good.I recommend not to buy if you already have a guitar because it's for beginners only & if you have any guitar & know how to play then you won't like it that much.Overall it's good for initial stage.
",1,1,0.508,0.7124999999999999,1.0,0
44,45,Miken,"
Extremely horrible. Please do not buy


the strings are way too high, when you press it your fingers will hurt and its very hard to play as you have to press so much and its much different than other guitar where you just pretty much have to touch on the frets. But also my cousin had another guitar of the same brand and it was pretty fine, it was also of the same price but a blue colored one.
",0,1,0.7413,0.49762820512820516,0.0,0
45,46,Bhaskar Jyoti Ojah,"
Best of all at its price range but need to look more on packaging


No doubt for beginners it is bestGood Sound QualityThe size is little bit smaller than the regular one.i would have given in 5 out of 5 but i didn't cause at first the delivery period was so long i took about 10 days and i too got one scratch at the edge of the guiter and little broken at backside of it....the packaging was not so good.Only covered with a thin tharmocoal layer and plastic...it must be covered with the thik tharmocoal and bubble wrapper too.Anyways for beginners i would suggest this....And yes it's only about 2000 what could you more expect??!! Just Go For It...i hope you get safe product.Thank YouKeep Music Alive
",1,1,0.9427,0.4773504273504274,1.0,0
46,47,ABC,"
Even for BEGINNERS....DONT...Only for children as Fun.


1)Packaging delivery was all good,It's good for money.But not recommended.I read the same reviews but was on a tight budget and hurry.Hence made a mistake.2)Even for a beginner don't buy.Only preferred for children for FUN PURPOSES ONLY.3)Every 2 weeks you need to tighten the strings to get the std sound.And the more you tighten it more the handle will bend to front side as the wood will not be able to withstand the pressure.Which is not at all good.P.S.-If you really wanna learn join classes who provide their guitar for practice and then with some more bucks have something authentic afterwards.
",0,1,0.916,0.4077922077922078,1.0,0
47,48,vamsi,"
Excellent product at this cost


Excellent product at this cost..While tuning the guitar don't use any app,go to a guitar shop and ask the personnel's there to tune it..Amazon delivered within 4 days..Bag ,picks,belt,additional strings are included inside the bags front zip...Go for it..
",1,1,0.8126,1.0,1.0,1
48,49,Samuel S,"
Not Preferred for Professionals


Well . If you are a professional u will probably not prefer this guitar .As the guitar stays in the fulfillment center for long with time the neck gets bentAnd there is no Trust Rod in the Guitar to adjust it .If you are a beginner who knows nothing about guitarAnd just want to learn it and isn't looking for a guitar for a long time purpose u can go ahead and purchase it .
",0,0,-0.0777,0.25,0.0,0
49,50,Anurag chauhan,"
Great guitar for beginners...


It is good guitar for extreme beginners. The action is kind of very high and you can feel it while playing. But the sound it creates is nice at this price range but if you have a better budget, go for other brands and dreadnought size...in small size guitar without trust rod like this it is very difficult to adjust the action. I have to taper my bridge several times but still my fingers hurts
",1,0,-0.2162,0.5590714285714286,1.0,0
50,51,vaibhav,"
Action is way too high. Not for beginners. Not for anyone.


Action (distance between string and fret board) is way too highAction is even greater than the distance between two strings.There is no truss rod so you can't change the action.I had to sand down the string rests on both end but still action is way too high.Not at all for beginners as the strings are way too hard to press down, and beginner would think that is how hard guitar is. pressing down any string with pinky finger is next to impossible.
",0,0,-0.2617,0.35749999999999993,0.0,0
51,52,Ishani Ray,"
Good for casual use only.


This is my very first experience with a guitar. After using it for half a year, here's how I feel -Sound quality: I honestly didn't expect the guitar to sound this good. And it didn't, at first. But once I tuned it properly... Voila! It's rich, it's full, and one cannot possibly ask for more at this price! (Rating: 4.5/5)Build quality: The guitar's lightweight and doesn't feel very sturdy, however, apart from a few dents incurred due to accidental collisions with other objects, it's still in one piece. Being a budget offering, it doesn't have a truss rod, which makes the neck prone to bending, but I haven't had that happen to me yet. The strings are of low quality though and had begun to rust within the first fortnight itself. (Rating: 3.5/5)Comfort: This is one area where this guitar is absolute crap. Especially for a beginner. The action - or the distance between the strings and the fretboard - is a bit too much, making it that much harder for a newbie to master the art of playing a guitar. Even if you're determined enough to persist with it, there's no way you'll be able to play it for extended periods of time - without inflicting serious damage upon your fingers, that is. (Rating: 1.5/5)Final verdict: This is not meant for people who are serious about learning how to play a guitar. It's for those wanting to take a 'test drive' before committing fully to that idea. Or, if you're like me and just need a stress-buster (of the musical kind) to help you unwind after a long day at work - this guitar should suffice. It's nothing more, nothing less. (Overall rating: 3/5)
",1,1,0.9811,0.47860360360360354,1.0,0
52,53,Saikat Das,"
Very bad quality, total waste of money


It's only 2 month I bought this for my son. Suddenly I found the wood have been bend and it's not usable any more. I feel like cheated.
",0,0,-0.8137,0.6027777777777777,0.0,0
53,54,Vineet Kumar Pandey,"
Beginner's guitar 🎸


Reasons why you should not buy this guitar* Strings are of poor quality*The gap between board and strings is large.* It gives extra strain (pain) to your fingers in comparison with other guitars.*Sound Quality is not as good as you expect.*Build Quality is poor.Reasons why you Should buy this Guitar* It is very cheap.* I looks good.* You are beginner and have tight budget.* At this price it is best.I have used this guitar for around 1 year. But it was never my first priority. Still you can't expect better at this price.
",1,0,-0.7321,0.4732619047619048,1.0,0
54,55,Anand,"
This guitar is just about okay. Price is high looking at the quality.


I purchased this two weeks back and it broke the string while I was tuning it. This would be my third guitar purchase but this one for my cousin to learn as a beginner and while it has not bad of a sound, It does feel pretty flimsy. It broke the E string on very first tuning. They do give extra set of strings but of course. Frets are subtle for beginners not to get their fingers busted by strings. Other than that, I don't see my cousin moving around a lot with it as carelessly as one should with their instrument. Feels like made of very thin wood.
",1,1,0.6883,0.4934615384615385,0.0,0
55,56,Rajat Sharma,"
If you are going to take your first lesson of Guitar then this is the best you can find


Best guitar to get started with. This is a bit small in size which is good for beginners as they can handle it better. Easy to play and sounds pleasing.Once you are good enough to play without looking at fretboard then good for better and bigger one.Made in china. Imported quality. Presentation is 5 star. You wont be disappointed.
",1,1,0.9851,0.5166666666666667,1.0,1
56,57,Ajay Sanala,"
No truss rod






                    The media could not be loaded.
                



 After some time the neck is going to bend and there is no truss rod to adjust. Due to this distance between strings and frets will increase. Would've given 5star if the product is included truss rod.
",0,0,-0.2732,0.375,0.0,0
57,58,SAMRAT DEVGUPTA,"
Packaging was horrible


The Guitar is very good in this price range but I just wonder how it survived the travel because the packaging was very bad and the outer package was torn very badly..... when I saw the package I thought there is no way the Guitar is intact inside but fortunately it was......
",0,0,-0.8619,0.8426666666666668,0.0,0
58,59,Ved Shukla,"
Best for Pre-beginners


I got excited about guitars after I saw a few guitar videos and tutorials. I was not sure if I can maintain my interest in learning and playing guitar. Hence without much investment, I was looking for an average quality guitar.This guitar does the job, although the quality is definitely at par with Yahama or Faith guitars. If you are a pre-beginner and wants to learn the basic strumming, fingering and chords, this guitar will do the job. Once you reach a beginner or intermediate level, you can go ahead with better quality guitars.You also get extra set of strings, 2 picks and an average quality bag.I broke A string on the very first day while trying to tune the guitar, hence extra set of string comes handy. Be careful with tuning.If someone is a pro and has used quality guitars, they might find this guitar below average. But for pre-beginners like me, it just does the job.I got this for 2200 but I have seen a few people buying it for 1900 to 2100 as well. If you are getting it under 2500, its a fair deal I guess. Also you can have a look at Intern guitars as well which are also for pre-beginners.Overall happy with the product.
",1,1,0.9748,0.45986111111111116,1.0,1
59,60,Kriti Mukherjee,"
This is not even a guitar, piece of junk.


I am playing guitar for 17 years and I haven't seen a Bad guitar like this one ever.  This is not even a real guitar. It is simply a toy. The fretboard is a joke. It was arrived neck broken, never mind.  The quality is awful too. It is very light, the neck was loosely attached and the wood was very bad,I need a refund, I don't want replacment.Simply don't buy it. Waste of money.Re. The situation becomes pathetic when the refund part comes, they simply avoided pickup telling verification failure and didn't also replaced the order.  Nuisance is going on here.
",0,0,-0.7219,0.4883485958485958,0.0,0
60,61,Ganeshwar,"
Think twice


I bought this guitar during lockdown oct 2019. It's kind of late as I'm writing this review (i have exams tommorow i don't know what Iam doing xD)So basically this guitar is a beginner guitar but in my opinion a beginner should not have any kind of Barrier blocking them to become a good guitarist and i think this guitar kind of makes the journey less fun, why? Because the sound quality is really very poor it also only has 18 frets, acoustic guitars have 20. It shouldn't really make a difference since you wouldn't be playing that high when first starting out until you reach 1-2 years.TLDR: try to push your budget a bit more and consider buying a dreadnought guitar. Iam altho very grateful for having this as my first Guitar, it taught me how to maintain my guitar.
",0,0,0.0169,0.5090196078431373,1.0,0
61,62,kumar siddhartha,"
Good product for beginners, easy to learn






                    The media could not be loaded.
                



 Depends on your learning aptitude
",1,1,0.7003,0.7166666666666668,1.0,1
62,63,Ray Mathew,"
Not worth your money


People would think that it’s a steal at just Rs. 5000 but in reality they just steal your money. This thing is just a piece of wood with strings. 3 of them broke when I was tuning it for the first time, and it never sounded accurate.You can call it a beginners guitar if you don’t really care about the perfect sound and just want to get comfortable strumming and learning new notes.
",0,1,0.7396,0.46969696969696967,1.0,0
63,64,Rahul,"
Good guitar for 2000rs.


I was using this guitar for more than 6 months and I didn't found any problem for beginners.Yes it has some mistakes while making the guitar such as high distance between the fretboard and strings, dots on the guitar, total number of frets, hardness of strings, scratches on the body, small dent on body etc. But what you can expect to get in 2000rs.Still It is good for beginners who have small budget for learning the guitar. You can purchase this guitar for learning the basics and can use it for maximum 4 to 5 months and then move on for Yamaha, Cort or Fender guitars.
",1,1,0.7163,0.53625,1.0,1
64,65,Nainar,"
For 2500, this is a great guitar, sounds just nice


The first one that arrived - the neck was completely broken in to two. So before you receive the package, check package integrity. Mine was looking ok, but still I can see a dent marks in the neck area where the guitar was broken.Amazon picked my broken guitar and immediately replaced it with the new one in no time.When they picked the old one, I was looking for the Neck Band, Extra Strings and Strummer. They were not found. But then only when I got the new guitar I realised they were inside the guitar bag's side pocket. The moment I opened the cardboard box, I knew the neck was broken before I can take the guitar out of the box - just via the transparent polythene package.So thanks to Amazon for replacing it quickly, but at the same time, caution to those who are ordering this guitar to just pay attention to the package detail and inform the delivery person in advance. I don't think we can do nothing else but just give an attempt for replacing the guitar.
",0,0,-0.5785,0.4544949494949495,1.0,0
65,66,Rahul Kumar,"
Not even for beginners.


This product is inconsistency in action. If two people buy this same guitar they can get different action that too with huge difference. The first time i got this action was 5mm for 1st string and that is too high to begin with. I went for replacement and the product i got for replacement had 6mm action. So I would suggest not to waste yout money on these kinds of guitar. Even if you are a beginner and if you can spend 2-3K extra then plz buy a good guitar in 5K segment. This I would not suggest to anyone. As the action is high you will face a lot of difficulty in pressing the strings.
",0,1,0.6632,0.30273809523809525,1.0,0
66,67,lonebullet,"
Good for people who don't see themselves playing in the long run


Hi guys,This guitar is not a bad guitarOnly if you feel like you wanna experiment with playing guitarBut I do not recommend it if you're extremely serious about taking up guitar.There are amazing guitar s if you increase your price range a bit (maybe 4000 rupees). Because this guitar only has 19 frets and is extremely hard to okay because of high action. The tuning legs are of low quality and sound quality is average at bestPlease think about buying guitar s from bands like kaps, kadence or even Yamaha (the f310 is an amazing choice for everyone)Hope I was helpful.
",1,1,0.9603,0.5653571428571429,1.0,0
67,68,Online Shopper,"
Hobby, School or learning for social media. This is good






                    The media could not be loaded.
                



 Cover, strap, extra wire. Tuner and perfect at the rates. This is a review after 2 years. No breakage in wood or wire. Very popular in social media, hobbyists, and learning students
",1,1,0.8173,0.47222222222222227,1.0,1
68,69,Md,"
waaaawooooooo..😍


this guitar is really osm.....sound quality is amezingggg..packeging is unbheliveable.just care fully tuned means slowly one's  and aftar that play how you want.look,colour,sound,packeging,qulity is no one can give in this price..and 2000Rs for this product its ok im happy with that..😍😍😍😍😍😍my dreems comes true
",1,1,0.985,0.55,1.0,1
69,70,R V P R K PRASAD,"
Average product. Please buy only if you have low budget.


I was searching for a good guitar and I found this one. The reviews were good. But the wasn't too good. It's just average. This is my detailed review.ProsIt is very cheap.Good colour and attractive bodyConsI have seen many reviews saying that it is good for beginners. But it is not. It's action is very high and it will be difficult to play this . For those who don't know what action is it is the distance between strings and fret. It is very high which makes it difficult to play.Also it is getting out of tune very frequently.If you can buy a better one please do.If this your only choice then it's up to you
",1,1,0.8999,0.593047619047619,1.0,0
70,71,MWP,"
Best guitar for less money


Very good for a beginner.Guitar is superb.Tune it with somebody whose professional or use Guitar Tuna app. Or Yousician.I only have a problem with the guitar cover the straps are weak and the cover is of cheap quality. Weak stitches.Could charge a bit extra and provide quality cover and a stand and tuner .That would make it a perfect deal.But then in 2000 it's fine. Can get the cover stitched.Overall happy with the purchase.
",1,1,0.8329,0.5663888888888889,1.0,1
