,Unnamed: 0,Name,Review,Sug/Com,Vader,sentiment_dict_sompound,TextBlob_Subjectivity,TextBlob_Polarity,flair_sentiment
14,15,GFresh,"
AMAZING product.  Incredible value.  Beats my $75 serum!!


I wished there was a way to give this product 10 stars.Let me first say I'm a VERY picky retinol user.  I usually use a high end organic product (aka: Origins) but thought I'd give this one a whirl given the reviews.  I'm a tried and proven convert now.  I LOVE this product.  It is so luxurious, never causes burning, peeling or redness.  Truthfully, I think this is best retinol cream I've ever used and that's just how it FEELS on my skin.  Let's talk results.Usually most ads state something like ""95% of users noticed improvement with wrinkles in 7 days"" or something along that line.  I often have wondered, who are the respondents to those trials?  Have they ever used ANY product before?  (Many women consistently don't even use a face cream yet or have an established habit of moisturizing their skin.)  If not, of course they'd see incredible results!  I've been taking care of my skin with a normal regimen since my teens.  (Thanks Mom!)  That said, my skin is pretty acclimated at this point to moisturizers and anti-wrinkle creams.  In short, it's hard to dramatically improve beyond what I currently use, which are stellar (but pricey) products.This product changed the playing field.  With one use, I could tell this was different.  I'm addicted now and have a hard time finishing up my other products!  People at work ask me what I'm doing to my skin.  They tell me how super soft, supple and radiant my skin looks.  I thought it was just me that noticed but others have too.  I don't want to waste any other existing product so I'm going to still use that up first before ordering more, but once it's gone, I'll be ordering this full time from now on.  I'm also going to try out their other products as well.
",1.0,1,0.9965,0.48067708333333337,1.0,1
15,16,Monique Fernau,"
Disappointed


It is just an ordinary cream it is similar than e45 cream nothing special it is overpriced for the product.
",0.0,0,-0.6551,0.5553571428571429,0.0,0
16,17,Lisa B,"
Loyal to this product/brand


I'm 55 yrs old.  I've been using this product for about 6 months.  I bought it because I was tired of paying over $100 for department store products and I figured it couldn't hurt to try something new.  All I can say is that my skin looks great.  It's tight, it's clear, and it has a healthy glow.  I'm attaching a photo I took a couple of weeks ago (keep in mind that I'm 55 so my skin isn't perfect) but I think it looks pretty good.  I also love the fact that I don't have to be stingy with it due to it's affordability; I use it on my face and neck twice a day.  I also use Lilyana Natural Rosehip and Hibiscus Eye Cream, for the record. I've had no cosmetic surgery on my face, which I'm sure you can tell, but overall I think I look pretty good!  The product is gentle and pure, so I've not experienced any ill effects with it.  I hope this review helps you to feel comfortable with purchasing this great, affordable product.
",1.0,1,0.9953,0.638367303992304,1.0,1
17,18,D.O.,"
The Holy Grail Retinol


I love this product! I had been looking to get into a retinol for a while, I did a lot of research and tried a few different ones to ease my skin into it. As anyone who knows retinol would know, it can be quite aggressive for first time users. So I decided to give this one a try after I saw a dermatologist review it. I have had no luck with other retinols even after months of slowly working up to using them regularly my skin just would not take to them and the pimples continued and my skin looked worse then when I started.So I bought this one, I have been using for 2 months now and I absolutely love it! I worked up slowly again to using it daily just in case it caused my skin to flake or purge. But I had none of those issues with this. My skin never peeled and I had the odd purging pimple at the start but that was it. It has completely transformed my skin, it looks ""airbrushed"" almost. It has a kind of blurring affect, it makes my skin tone so even and I have no texture at all. I hardly ever get pimples now and if I do get the odd one, I put this on over night and it completely vanishes the next morning. I have also noticed is diminishes fine lines, scaring and any sun damage it seems to help with everything.I now use it as part of my night time routine, before moisturiser I pump out about the size of a bean and rub it into my hands then smear it all over my face and neck. It feels so luxurious going on, it glides around so nicely and just feels great. I could rub it in all day. I then pat down any excess and let it soak in. It leaves my skin looking nice and dewy afterwards as well. There is no scent, that's why I gave it no stars for scent, but I think that makes it perfect for people who are sensitive to fragrances in products.In terms of value, it's definitely not the cheapest retinol but it's also not the most expensive. The bottle seems to give you plenty of product and you don't need much to cover your whole face/neck so I think it will last me a while. And for the ingredients as well, it's really hard to find a retinol that has nearly the same strength as prescription retinol with hydrating and calming ingredients like Hydroluronic Acid. So I really think its a win win.I am definitely going to be re-purchasing this again. I am sold. I'd recommended it to everyone! So definitely give it a try!
",1.0,1,0.9924,0.4552406657669815,1.0,1
18,20,M. Dixon,"
After 6 weeks stopped irritating my skin and is now fabulous!


I have sensitive combination skin, I have bad reactions to EVERYTHING. The last retinol serum I used had be come out in a rash, I decided to give this a go;It is a cream texture so using as a night cream and at first again broke out in pimples which I was very said about but I changed using it to only once a week to build up resilience. Now I can use it every other day and it’s great- no irritation or skin issues. I only use on my forehead around my crows feet and neck because I fear using cream products on my chin causes me to break out But I will keep going and update when I finally am brave to try the rest of my face!
",0.0,1,0.7806,0.6826388888888889,1.0,1
19,22,Diane De Source,"
You can use apple cider vinegar before applying.


My skin is very oily and acne prone. I applied the retinol cream day and night with nothing else but it did not do anything for me. It's only later when I decided to wash my face with apple cider vinegar and then put on the cream that I noticed a difference. It helps, some days a lot, but I need to be patient with it.The concentration of this cream is excellent, so a little goes a long way. Don't use too much and you will save up as well.
",1.0,1,0.9468,0.4857142857142857,1.0,0
20,24,Neeru Choudhary,"
Not sure if got the genuine product


Was really excited to try this product after seeing almost 30k reviews on Amazon and some more youtube reviews of this retinol cream. Have been using it for past 6 months and really don’t feel like it’s a retinol product. Being a first time user of retinol product I was expecting my skin to be dried out a bit as this one claims to have high percentage of retinol. But have not felt any irritation on my skin. Seems like a normal moisturizer. 3 star as is has not done any harm to my skin as well. Highly doubt if I got the genuine product.
",0.0,1,0.9029,0.5210185185185184,1.0,0
21,25,AnneAesthetic,"
Pleasant to use, just not miraculous


I didn't notice any effect on my fine lines, but it was lovely to apply. I wish there was a window on the container, though; because it's an opaque pump bottle, I didn't know I needed to order more until I was completely out.It's a nice cream. I'd get it again.
",1.0,1,0.9468,0.6861111111111112,1.0,1
22,29,miakate,"
It's true, this works.


Within weeks of using this at night, and the vit C in the day, my skin was totally overhauled.  Didn't expect it to work this well, but it costs a 1/4 of my usual night cream and works better. So i'm sticking to it
",1.0,1,0.7534,0.5375,1.0,1
23,30,leserpent,"
Simple all-in-one retinol moisturizer


Simple all-in-one retinol cream, have had no complaints, no irritation, no clogged pores or anything. Nice simple moisturizer with anti-aging benefits for a consumer friendly price. Will purchase again.
",1.0,1,0.9364,0.5142857142857143,1.0,1
24,31,K. Ford,"
Improves age spots AND breakouts


I’ve been using this product for two years now and absolutely love it. It has improved both my age spots and breakouts (so frustrating to face both at once!). Highly recommend.
",1.0,1,0.8904,0.68,0.0,1
25,33,Christyca8888,"
Great product


Great moisturiser. Minimal signs of reduced lines on my face after a few months of use. Use only at night as part of my nightly skincare routine. No skin reactions noted. Great moisturiser.
",1.0,1,0.9022,0.6583333333333333,1.0,1
26,34,leigh,"
Works miracles on acne scarring


This lotion combined with Alpha Skin Care Intensive Renewal Serum for all skin types with 14% Glycolic AHA also on amazon have significantly reduced my scarring in only one month, and have completely stopped my breakouts. I would recommend this product to everyone! These pictures are after exactly 30 days of use
",1.0,1,0.6704,0.63125,1.0,1
27,35,Lina,"
Fast a delivery n well packed


Parcel arrived as per schedule. We’ll packed. Cream is nice on face and can see and feel the tightening Of the skin. Using it with Vit C serum and suncreen make up during the day and at night.  Keep you posted if any improvement LOL
",1.0,1,0.8868,0.7666666666666666,1.0,1
28,40,Vicki Fowler,"
Works


Been using it for 2weeks now can tell a great improvement
",1.0,1,0.7964,0.75,1.0,1
29,41,Amazon purchaser,"
Good so far


Product arrived quickly and feels nice on my skin.
",1.0,1,0.6908,0.775,1.0,1
30,42,Chloe,"
Great product


My skin loves it!
",1.0,1,0.8439,0.75,1.0,1
31,43,Amazon Kunde,"
Sensitive skin


After three days i started to break out so badly. Maybe because i have sensitive skin.
",0.0,0,-0.6113,0.8222222222222223,0.0,0
32,46,cheryl sharpe,"
Very fast delivery and value for money


This is a lovely face cream
",1.0,1,0.7351,0.765,1.0,1
33,47,Megan K,"
Yaaaaasss!


Turning thirty in a few months and trying to stop time now and/or put my thing down flip it and reverse it to my youth. So far--so good! I've been using this for 1.5 weeks and I'm noticing a difference in my overall skin texture and color. Still waiting on the undereye darkness and lines to improve, but I'm impressed with the progress in such a short time! It's a thick cream, but very light-weight when it's on and I haven't been dry or irritated.Morning:Clinique mild facial soapClinique lotionAnti-aging undereye concealerNight:Clinique mild facial soapThis retinol cream
",1.0,1,0.8925,0.3688492063492063,1.0,1
34,48,Christine Heath,"
good product


great cream. goes on well feels great.well worth buying .will  buy again.
",1.0,1,0.875,0.4833333333333334,1.0,1
35,51,Cait Monasteio,"
Not a fan!


Based on the reviews, I was so excited. An all natural moisturizer that many has stated worked wonders! But for me it was a no, i have combination skin and have tried brand name to drug store moisturizers. Think la mer to neutrogina. I wanted to try a more natural route. Day one: felt great! Moisturized without oilDay 2: slight tingle and rednessDay 3: decided to alternate and use cetaphil to give my skin a break. Used cream only in the amDay 4: redness under both eyes and so ITCHY!!!Day 6 red swollen dry patches that are itchy!Day 8: patches are bigger and more irritatedI have never reacted this way to a moisturizer and while the photos dont show the swelling or both eyes, it does show the worsening in the redness. one picture is from day 4 then day 6. I will not continue to use this past a week.
",0.0,1,0.87,0.4511904761904762,1.0,0
36,53,bjmok22,"
Pay attention to ingredients!


While I truly loved this product the texture of the cream, how hydrating it was and the way my skin texture improved, I had to stop using it and find a better source of retinol. This product contains Phenoxyethanol which is used in place of parabens but can be harmful to The body long term and has been banned in Europe and Japan, but unfortunately not the US. It is especially harmful to infants nervous systems so having a baby opened up my eyes and made me stop using this product. Just do your homework and be careful when you see anything labeled natural!
",0.0,0,-0.5242,0.7285714285714286,1.0,0
37,54,fatima,"
Five Stars


this product is so perfect i dont need to use foundation anymore
",1.0,1,0.6948,1.0,1.0,1
38,57,Hannah,"
Lots of satisfied consumer 🤩


Just bought it , hoping for the wonders results 🙌🏼
",1.0,1,0.6808,1.0,1.0,1
39,59,Nia,"
Amazing !


It’s my second day.. I almost got my results.. it’s good far scar shading and wrinkle removing..
",1.0,1,0.7901,0.625,1.0,1
40,60,Stanfanie,"
Love!!


I began my new skin care regimen on Jan 28th. I pieced together what seemed to be working for me from a few different lines of products. I follow the same routine morning and night (with a few exceptions where I was up extremely late and slept in my makeup) and I am very happy with my results! I wash my face using Olay Regenerist wash, then use a micro needle roller. I then use Acure brand Toner. After that fully absorbs, I use the Lily Ana Vitamin C Serum and the Lily Ana Retinol Cream. Then depending on morning or evening, I use either Acure morning or night moisturizer. I'm absolutely in love with the results that the Lily Ana products have helped me to achieve in two months! I highly recommend incorporating their products into your daily regimen!First photo is Jan 28th, second is April 6th. Both were taken immediately after washing my face.
",1.0,1,0.972,0.39329545454545456,1.0,1
41,62,Esher,"
Retinol


Nice product 👍
",1.0,1,0.4215,1.0,1.0,1
42,63,Mayors Wife,"
I have very deep wrinkles (I am 70 years old) ...


I have very deep wrinkles (I am 70 years old) and bought this after having read the rave reviews.Put me in the 5 star category for liking this.I use it day and night as directed and I think that after having used it for 3 weeks I can truly see the results.I looked at myself in the mirror the other day and honestly thought that I look ""softer"" than I have in a while.Because it is a small company the owners are anxious for you to post results.  I didn't publish them immediately, but am here to say that I will reorder this and use it until the day I don't want to put on makeup anymore.
",1.0,1,0.4528,0.514375,0.0,1
43,64,Dana DiBiccari,"
Amazing results!


I'm a skin care junkie and always looking for the best out there... this is definitely one of the best!! I've noticed a difference in my skin in just 2 weeks of using LilyAna Naturals (I also use the Face cream as well as the Vitamin C serum) and I couldn't be happier! My pores appear smaller, skin tighter and smoother. I highly recommend this product!!
",1.0,1,0.9738,0.5066666666666667,1.0,1
44,65,G. P.,"
WHY DID YOU CHANGE THE FORMULA????


Look at pic, left old formula (love), right new formula (hate). New formula does not agree with my skin at all, please change it back! You moved the ingredient (Phenoxyethanol) that is not good for skin from second to last, now it is ahead of the retinol and hylalorinic acid. New bottle does not say the % of organic nor does it say the % of retinol. I am so sad about the change, I really, really liked the old formula. Will be returning this. Looks as though you changed the vitamin C formula too. I will be finding a new product to love.
",0.0,1,0.7443,0.4306213394448688,0.0,0
45,66,Jacquelyn Shaw,"
Great product, Worth trying!


Amazing! I had a smile wrinkle building on the side of my mouth and this definitely has been helping to lessen the definition of the wrinkle. And it is not heavy and soaks in the skin fairly quickly without any greasy feel to your skin (actually it leaves it really soft after). I have an anti aging cream that cost triple this cost...they do an equal job, maybe this productions is even better, and this is much lighter feel on my skin and doesn't cause me to break out when I use it consistently like the anti aging cream!The picture is after using it for a week can consistently.
",1.0,1,0.9601,0.37500000000000006,1.0,1
46,67,Rhonda D,"
Several weeks later and now a face full of acne


I am 56 years-old.  I bought this product because I was tired of paying $75 and up for skin care products at department and cosmetic stores.  I have been using this retinol cream for two weeks now and absolutely love it!  The cream has softened, smoothed, lifted, and firmed my skin and has made it more radiant.  It is even eliminating clogged pores and reducing some milia I have.  It is the best skin care product I have ever used, and that's significant because I have tried almost everything over the years.  The price point for this product is incredible, as well.  I am going to order another bottle of this retinol cream today so that I have one on hand when the first bottle runs out.  Because I was so impressed with this product, I ordered the three other products by LilyAna Naturals that are offered on Amazon -- the eye cream, the vitamin C serum, and the moisturizer.  And I am equally impressed with these products!  Throw in the fact that I paid less for all four products than what I previously paid for just one product at a department store,  and you have a completely devoted LilyAna Naturals customer.Update:I should have known better than to post a review of a skin care product so soon after receiving it. After I finished my first bottle of the retinol moisturizer, I ordered a second one. I thought the second one smelled a little odd when I opened it, but I wasn't certain. Anyway, here I am a few weeks later with a face full of acne, some of it cystic. It has to be either this product and/or the Lilyana Naturals vitamin c serum I started using at the same time I started using the retinol cream.  I haven't had a breakout like this since I was a teenager, but it is just as upsetting and frustrating now as it was then, even more so because you kind of expect it when you're a teenager, but not when you're in your 50's. It can only be the Lilyana Naturals products that are causing this reaction because the the only other things I use on my face are the same cleanser and foundation that I've used for years. At this point all I can do is stop using all skin care products until the acne clears, and then I will have to go back to the department store products I was using before. I even stocked up on the retinol cream and the vitamin c serum because I was initially so excited about the results that I was getting. But now I'm too scared to use any of it, so it will all end up going to waste.  I should have known that if it sounds too good to be true, it is, and you get what you pay for.
",0.0,1,0.977,0.4486263736263737,1.0,1
47,68,Amazon Customer,"
Inconsistent and disappointing


This is the second time I’ve purchased this cream. The first time I really liked it. I have sensitive skin and it didn’t cause any irritations, burning or itching. It didn’t have a smell and I felt that it gave my skin a good amount of moisture without being oily. However, after receiving my second bottle I found the product to be extremely inconsistent with my first experience. The product itself is gritty (as you can see in the picture provided) and has a strong fragrance. I only put it on my face once before I had noticed the odd texture and it bothered my skin almost instantly. I’m very disappointed  with the inconsistency.
",0.0,0,-0.5267,0.5982142857142857,0.0,0
48,69,Brooke,"
Buyer beware!! Will make you skin breakout badly!!


Horrible product! Put this retinol cream on at night and woke up with a horrible breakout of small red bumps all over my face. I read other reviews and thought it was possibly just their skin being to sensitive, but I also broke out all over my face and I have never had problems with any other face creams I have tried in the past.
",0.0,0,-0.8191,0.5888888888888889,0.0,0
49,70,Clarissa Cox,"
Love love love LilyAna products


Ok, long post. I truly love LilyAna products! This is my first time using the retinol cream, but this is my 2nd time ordering the Vit C serum.I’m 37 and have had acne since middle school. I’ve been using over the counter acne meds for a few years and while they did help with the large and deep pimples, I was still breaking out in small pimples (esp before my period) but I also have very large pores courtesy of my mother, and so I get blackheads very easily. I finally decided to start treating my skin like an adult and not a prepubescent teen 🤣. I stopped the acne meds and decided to try products that would regulate my natural oils and hopefully help with evening out my skin tone. So I found these products and I’m hooked. Being a vegetarian I also love that they are natural, mostly organic, and cruelty free. So every night I use the retinol cream. It is super rich and moisturizing. I read that it can make you flake a little bit and yes it did happen around 7 days into it, but it was over in about 2 days. I also use this coffee bean caffeine eye cream that I’m loving (from amazon). In the morning I use the eye cream again, the LilyAna Vit C serum, and then a hydrating facial serum ontop of it (I got that from my mom and I believe she got it at Costco but not certain). Once it’s all soaked in I top off with sunscreen. I also use both serums on my upper chest, as I’m noticing some sun spots lately. Every other night I wash my face with an electric brush. I don’t use it every night bc I don’t want to totally irritate my skin. I’ve been doing this routine for about 2 weeks and I’ve noticed such a difference already!  No major pimples, fewer blackheads especially on my chin, and I’ve noticed that my eyes aren’t as dark, so my skin looks much more even. I used the Vit C before and really noticed how it helped with sunspots on my forehead. Also, their customer service is spot on. Try them!
",1.0,1,0.9963,0.4687728937728937,1.0,1
50,71,T. Rumfelt,"
Remarkable Results


I have taken terrible care of my skin my entire life. I've never had a skin care routine. I've always just washed my face with soap, never moisturized, spent a good chunk of my younger years never using sunscreen and now only use it if I'm at the pool/beach. And, I've mostly gotten away with it until recently. But, with a lot of weight loss comes a lot of wrinkles. In my case, the wrinkles around my eyes were most problematic.So, I did a little research and learned that I needed to look for products with retinoids, vitamin c and hyaluronic acid to help with my wrinkles.After some more research, I found a product line called LilyAna Naturals. They have a retinol cream and a Vitamin C serum that are very highly rated on Amazon. They've also gotten a bunch of other great reviews from other places. And their prices are much lower than other products with the same ingredients. I decided to give them a shot AND take before and after pics to see if they did what they were supposed to.It's been 2 and a half months since I started using this stuff. The pics don't lie. There's no filter on any of them and they were taken in the same spot under the same lighting. I'm amazed. Not only is this stuff effective, it doesn't irritate my eyelids which have become super sensitive in the past few years.I'm not getting paid or being given any free product to share this. I'm just excited that this stuff actually works.
",1.0,1,0.9933,0.48420430107526885,1.0,1
51,72,Amy Metheny,"
However I saw this product and it had great reviews and was slightly cheaper so I thought I'd ...


Ok so there is no miracle cream that will erase all your lines and wrinkles but this sure does help! I've been a religious user of Olay's regenerist since its advertised to be ""comparable to the the $400 creams"".  However I saw this product and it had great reviews and was slightly cheaper so I thought I'd give it a try.  So far the deep lines in my forehead have noticeably diminished and the overall texture of my skin is improved.  I'm 41 and have always had large pores and more recently the appearance of my skin was almost gritty looking like sandpaper.  This product has reduced the appearance of my pores, smoothed my face and completely fixed the  weird crepey pouch of skin on my neck!  I'm very pleased with the results and will definitely buy this again.  I'm now looking into their other products.
",1.0,1,0.9832,0.5197786131996658,1.0,1
52,73,DJ,"
Ingredients recently changed, now includes pentylene glycol—which really can't be called ""natural""


Loved this product a lot. Recommended it to friends. Then I go on here to reorder and I see that they've changed the ingredients. Pentylene Glycol is a (usually) petro-chemical based solvent and humectant that can cause dermatitis in many, including myself. :( It probably helps preserve the product for longer...but at what cost? :P Retinol is now further down on the ingredients list as well.Calling this ""natural"" at this point is really arguable.My friend shipped hers back and I won't order this again. :(
",0.0,1,0.9114,0.484920634920635,0.0,0
53,74,trynabehealthy,"
great product


I have been using this product for a little over a month now and my skin seems to really like it. It has evened out my skin tone and moisturizes very well. I have noticed that the skin under my eyes is less thin/crepey and I attribute that to this product. I only use it at night and use Dermalogica Dynamic Skin Recovery with SPF 50 in the mornings. Very pleased with the results as my skin is very soft and just looks better, with makeup or without. I will definitely repurchase once this bottle runs out. Also, this is not a fake review, I am a real person who relies on reviews when looking to purchase items. Hopefully this helps others make a decision to purchase or not.
",1.0,1,0.9718,0.5183333333333333,1.0,1
54,75,Molly T.,"
One-way ticket to Break Out


I've read about the trials of retinol, and was hoping this would be a low-stress option. The cream applied greasy and burned after application -- and I broke out horribly the next day. I was suggested to use it intermittently to allow my skin time to adjust, but I've continued to break out Every Time I use it. What a bummer!
",0.0,0,-0.6643,0.5,0.0,0
55,76,Amazon Customer,"
Perfect for anyone of any age, great for people struggling with acne and acne scarring!


This is the first time I've ever taken the time to write an Amazon review, and it's for good reason. This stuff is AMAZING! I am 19 y/o and have always struggled with acne. I feel the need to always use foundation to cover up the dark spots and scars on my face because it's so bad and embarrassing to me. I also do a sport where I come into contact with a lot of outside stuff on my face, so it's really difficult for me to keep up a consistent skin care routine. I saw this stuff and on a whim asked my BF for it for Christmas. I started using it after I got it (5 days ago) and am already seeing amazing results. I use it once in the morning and once at night like suggested, and my skin is already looking improved. It healed some of the acne scars on my cheeks and has taken off a lot of the whiteheads. It's also making my face look more radiant and clean. I totally recommend this to anyone of any age who has or is struggling with acne and acne scarring. Granted, my scaring isn't that bad, but I notice it and the fact it is healing up makes me so happy. I love this stuff.
",1.0,1,0.9799,0.6509803921568628,1.0,1
56,77,Arubaluva,"
Hoping to be rid of milia


I purchased this because of reviews I saw regarding milia around the eyes. I can't comment if this will help because I haven't used it long enough. I will definitely rate again if this does the trick.I've been using this at night and in the morning. I have not experience any redness or irritation.Ok so after using product morning and night for 3 weeks are my results for milia. The milia is flattening and some is gone already
",1.0,1,0.802,0.4666666666666666,0.0,0
57,78,Cjp,"
It left my skin super dry and it started to flake and become very ...


I used this cream for 5 days straight. It left my skin super dry and it started to flake and become very irritated. I stopped using it immediately. It is definitely not for everyday use. I felt as though it made my skin more aged and wrinkly.
",0.0,1,0.7872,0.4256410256410256,1.0,0
58,79,Summer Montuori,"
Really got rid of my actinic keratosis spot!


So I got this stuff back at the end of August and used it each night.  It wasn't making a difference and I got frustrated and gave up.  A few weeks ago, beginning of December, my dark patch, which is actinic keratosis, was getting rougher and was much more raised.  I could actually see it on my cheek if I looked down.  I decided to give the retinol another chance before the end of the year as I was planning on going to the doctor to get it removed in 2019.  Instead of putting a nice thin layer all over my face and rubbing it in I just put a small glop directly on the patch.  About a week and a half later it had softened so much I couldn't see it when I looked down any longer.  About a week after that the discoloration was gone.  I was, and still am stunned.  The first picture was taken August 29th 2018 and the second picture I just took now, January 7th, 2019.  The retinol cream, and less sun exposure, are the only things I've done differently but the results speak for themselves.  I've got a couple tiny spots on my other cheek.  I'm going to try working on them next.
",1.0,0,0.0752,0.33206018518518515,0.0,0
59,80,Luna,"
Acne & Hyperpigmentation


I really enjoy this cream. I have acne prone skin and was having a bad flare up for several months. It left me with a lot of hyperpigmentation and I wanted to switch my products to target this problem. I decided on this and their vitamin C serum since both have key ingredients to help that. First few weeks my acne got worse. I figured it was probably the retinol and I looked that up. Because retinol increases the cell turnover rate any acne that was forming will surface quickly as the skin ""purges."" So I just kept using it and made sure I was exfoliating regularly to help the process. My acne has dramatically improved since then. I am no longer in a flare up. My skin has less dry patches and the hyperpigmentation is lifting quickly. I use day and night with an added sunscreen in the morning. This will be a regular in my skin routine.My only complaints are:-The packaging. Because I have to order this online I wish I could better tell when I was running out. I love that I can pump out only what I need and it stays sanitary but not knowing when I need to repurchase is a bummer.-I wish it smelled nicer. This is really just a personal preference. The product boasts not having any added fragrance which is a good thing because it can cause reactions on certain skin types. I just wish it smelled a little more spa like, but that's just me. It's not a deal breaker.
",1.0,1,0.9789,0.46723321123321115,1.0,0
60,81,Amy J,"
Retinol..where???


I purchased this on Feb. 5th.I just used the last pump of this yesterday 3/29/2018.I loved the feel of this product on my face and it really worked well with my make up as far as did not get oily or greasy but thats as far as it goes. After a month of using this , I have seen no noticeable difference in the tone of my skin, nor the texture. Pores are still defined and laugh lines are still noticeable and the blotchiness is still the same.I question the amount of retinol in this product because you feel no tingling or redness that is a tell tale sign of retinol once applied. I really am disappointed. I did notice more pimples popping up on my skin especially on my jawline and cheeks.I dont want to leave a terrible review because i feel like as a facial moisturizer its really nice but as a retinol treatment...it doesnt make the mark at all.
",0.0,1,0.3695,0.6180555555555555,0.0,0
61,82,Ann,"
Not for me


I have been using this product for a couple of weeks now. I did start to see an improvement in uneven skin tone, and I started to see an increase of breakouts after a couple of days but that is to be expected. About 3 days ago I developed a subdermal cyst (a single occurrence of cystic acne) as large as a silver dollar to the right side of my chin that makes me look like I got punched. I'm not sure why this happened, but I haven't used any other products on my face (I don't wear makeup either) so I have to decide that it was this product.
",0.0,1,0.5357,0.4178075396825397,0.0,0
62,83,Gayle Traver,"
... bought this product hoping that it would be as great as some of the reviews that I read


I bought this product hoping that it would be as great as some of the reviews that I read, however this was not the case.  I found this product to be too thick and not easily absorbed into the skin without a ""film"" left behind.  I did not care for this, in addition, I did not notice any difference in the texture of my skin.
",0.0,1,0.8789,0.5958333333333333,1.0,0
