Sl No,Name,Review,Suggestion/Complaint,flair_sentiment
47,Megan K,"
Yaaaaasss!


Turning thirty in a few months and trying to stop time now and/or put my thing down flip it and reverse it to my youth. So far--so good! I've been using this for 1.5 weeks and I'm noticing a difference in my overall skin texture and color. Still waiting on the undereye darkness and lines to improve, but I'm impressed with the progress in such a short time! It's a thick cream, but very light-weight when it's on and I haven't been dry or irritated.Morning:Clinique mild facial soapClinique lotionAnti-aging undereye concealerNight:Clinique mild facial soapThis retinol cream
",1,1
48,Christine Heath,"
good product


great cream. goes on well feels great.well worth buying .will  buy again.
",1,1
51,Cait Monasteio,"
Not a fan!


Based on the reviews, I was so excited. An all natural moisturizer that many has stated worked wonders! But for me it was a no, i have combination skin and have tried brand name to drug store moisturizers. Think la mer to neutrogina. I wanted to try a more natural route. Day one: felt great! Moisturized without oilDay 2: slight tingle and rednessDay 3: decided to alternate and use cetaphil to give my skin a break. Used cream only in the amDay 4: redness under both eyes and so ITCHY!!!Day 6 red swollen dry patches that are itchy!Day 8: patches are bigger and more irritatedI have never reacted this way to a moisturizer and while the photos dont show the swelling or both eyes, it does show the worsening in the redness. one picture is from day 4 then day 6. I will not continue to use this past a week.
",0,0
53,bjmok22,"
Pay attention to ingredients!


While I truly loved this product the texture of the cream, how hydrating it was and the way my skin texture improved, I had to stop using it and find a better source of retinol. This product contains Phenoxyethanol which is used in place of parabens but can be harmful to The body long term and has been banned in Europe and Japan, but unfortunately not the US. It is especially harmful to infants nervous systems so having a baby opened up my eyes and made me stop using this product. Just do your homework and be careful when you see anything labeled natural!
",0,0
54,fatima,"
Five Stars


this product is so perfect i dont need to use foundation anymore
",1,1
57,Hannah,"
Lots of satisfied consumer 🤩


Just bought it , hoping for the wonders results 🙌🏼
",1,1
59,Nia,"
Amazing !


It’s my second day.. I almost got my results.. it’s good far scar shading and wrinkle removing..
",1,1
60,Stanfanie,"
Love!!


I began my new skin care regimen on Jan 28th. I pieced together what seemed to be working for me from a few different lines of products. I follow the same routine morning and night (with a few exceptions where I was up extremely late and slept in my makeup) and I am very happy with my results! I wash my face using Olay Regenerist wash, then use a micro needle roller. I then use Acure brand Toner. After that fully absorbs, I use the Lily Ana Vitamin C Serum and the Lily Ana Retinol Cream. Then depending on morning or evening, I use either Acure morning or night moisturizer. I'm absolutely in love with the results that the Lily Ana products have helped me to achieve in two months! I highly recommend incorporating their products into your daily regimen!First photo is Jan 28th, second is April 6th. Both were taken immediately after washing my face.
",1,1
62,Esher,"
Retinol


Nice product 👍
",1,1
63,Mayors Wife,"
I have very deep wrinkles (I am 70 years old) ...


I have very deep wrinkles (I am 70 years old) and bought this after having read the rave reviews.Put me in the 5 star category for liking this.I use it day and night as directed and I think that after having used it for 3 weeks I can truly see the results.I looked at myself in the mirror the other day and honestly thought that I look ""softer"" than I have in a while.Because it is a small company the owners are anxious for you to post results.  I didn't publish them immediately, but am here to say that I will reorder this and use it until the day I don't want to put on makeup anymore.
",1,1
64,Dana DiBiccari,"
Amazing results!


I'm a skin care junkie and always looking for the best out there... this is definitely one of the best!! I've noticed a difference in my skin in just 2 weeks of using LilyAna Naturals (I also use the Face cream as well as the Vitamin C serum) and I couldn't be happier! My pores appear smaller, skin tighter and smoother. I highly recommend this product!!
",1,1
65,G. P.,"
WHY DID YOU CHANGE THE FORMULA????


Look at pic, left old formula (love), right new formula (hate). New formula does not agree with my skin at all, please change it back! You moved the ingredient (Phenoxyethanol) that is not good for skin from second to last, now it is ahead of the retinol and hylalorinic acid. New bottle does not say the % of organic nor does it say the % of retinol. I am so sad about the change, I really, really liked the old formula. Will be returning this. Looks as though you changed the vitamin C formula too. I will be finding a new product to love.
",0,0
66,Jacquelyn Shaw,"
Great product, Worth trying!


Amazing! I had a smile wrinkle building on the side of my mouth and this definitely has been helping to lessen the definition of the wrinkle. And it is not heavy and soaks in the skin fairly quickly without any greasy feel to your skin (actually it leaves it really soft after). I have an anti aging cream that cost triple this cost...they do an equal job, maybe this productions is even better, and this is much lighter feel on my skin and doesn't cause me to break out when I use it consistently like the anti aging cream!The picture is after using it for a week can consistently.
",1,1
67,Rhonda D,"
Several weeks later and now a face full of acne


I am 56 years-old.  I bought this product because I was tired of paying $75 and up for skin care products at department and cosmetic stores.  I have been using this retinol cream for two weeks now and absolutely love it!  The cream has softened, smoothed, lifted, and firmed my skin and has made it more radiant.  It is even eliminating clogged pores and reducing some milia I have.  It is the best skin care product I have ever used, and that's significant because I have tried almost everything over the years.  The price point for this product is incredible, as well.  I am going to order another bottle of this retinol cream today so that I have one on hand when the first bottle runs out.  Because I was so impressed with this product, I ordered the three other products by LilyAna Naturals that are offered on Amazon -- the eye cream, the vitamin C serum, and the moisturizer.  And I am equally impressed with these products!  Throw in the fact that I paid less for all four products than what I previously paid for just one product at a department store,  and you have a completely devoted LilyAna Naturals customer.Update:I should have known better than to post a review of a skin care product so soon after receiving it. After I finished my first bottle of the retinol moisturizer, I ordered a second one. I thought the second one smelled a little odd when I opened it, but I wasn't certain. Anyway, here I am a few weeks later with a face full of acne, some of it cystic. It has to be either this product and/or the Lilyana Naturals vitamin c serum I started using at the same time I started using the retinol cream.  I haven't had a breakout like this since I was a teenager, but it is just as upsetting and frustrating now as it was then, even more so because you kind of expect it when you're a teenager, but not when you're in your 50's. It can only be the Lilyana Naturals products that are causing this reaction because the the only other things I use on my face are the same cleanser and foundation that I've used for years. At this point all I can do is stop using all skin care products until the acne clears, and then I will have to go back to the department store products I was using before. I even stocked up on the retinol cream and the vitamin c serum because I was initially so excited about the results that I was getting. But now I'm too scared to use any of it, so it will all end up going to waste.  I should have known that if it sounds too good to be true, it is, and you get what you pay for.
",0,1
68,Amazon Customer,"
Inconsistent and disappointing


This is the second time I’ve purchased this cream. The first time I really liked it. I have sensitive skin and it didn’t cause any irritations, burning or itching. It didn’t have a smell and I felt that it gave my skin a good amount of moisture without being oily. However, after receiving my second bottle I found the product to be extremely inconsistent with my first experience. The product itself is gritty (as you can see in the picture provided) and has a strong fragrance. I only put it on my face once before I had noticed the odd texture and it bothered my skin almost instantly. I’m very disappointed  with the inconsistency.
",0,0
69,Brooke,"
Buyer beware!! Will make you skin breakout badly!!


Horrible product! Put this retinol cream on at night and woke up with a horrible breakout of small red bumps all over my face. I read other reviews and thought it was possibly just their skin being to sensitive, but I also broke out all over my face and I have never had problems with any other face creams I have tried in the past.
",0,0
70,Clarissa Cox,"
Love love love LilyAna products


Ok, long post. I truly love LilyAna products! This is my first time using the retinol cream, but this is my 2nd time ordering the Vit C serum.I’m 37 and have had acne since middle school. I’ve been using over the counter acne meds for a few years and while they did help with the large and deep pimples, I was still breaking out in small pimples (esp before my period) but I also have very large pores courtesy of my mother, and so I get blackheads very easily. I finally decided to start treating my skin like an adult and not a prepubescent teen 🤣. I stopped the acne meds and decided to try products that would regulate my natural oils and hopefully help with evening out my skin tone. So I found these products and I’m hooked. Being a vegetarian I also love that they are natural, mostly organic, and cruelty free. So every night I use the retinol cream. It is super rich and moisturizing. I read that it can make you flake a little bit and yes it did happen around 7 days into it, but it was over in about 2 days. I also use this coffee bean caffeine eye cream that I’m loving (from amazon). In the morning I use the eye cream again, the LilyAna Vit C serum, and then a hydrating facial serum ontop of it (I got that from my mom and I believe she got it at Costco but not certain). Once it’s all soaked in I top off with sunscreen. I also use both serums on my upper chest, as I’m noticing some sun spots lately. Every other night I wash my face with an electric brush. I don’t use it every night bc I don’t want to totally irritate my skin. I’ve been doing this routine for about 2 weeks and I’ve noticed such a difference already!  No major pimples, fewer blackheads especially on my chin, and I’ve noticed that my eyes aren’t as dark, so my skin looks much more even. I used the Vit C before and really noticed how it helped with sunspots on my forehead. Also, their customer service is spot on. Try them!
",1,1
71,T. Rumfelt,"
Remarkable Results


I have taken terrible care of my skin my entire life. I've never had a skin care routine. I've always just washed my face with soap, never moisturized, spent a good chunk of my younger years never using sunscreen and now only use it if I'm at the pool/beach. And, I've mostly gotten away with it until recently. But, with a lot of weight loss comes a lot of wrinkles. In my case, the wrinkles around my eyes were most problematic.So, I did a little research and learned that I needed to look for products with retinoids, vitamin c and hyaluronic acid to help with my wrinkles.After some more research, I found a product line called LilyAna Naturals. They have a retinol cream and a Vitamin C serum that are very highly rated on Amazon. They've also gotten a bunch of other great reviews from other places. And their prices are much lower than other products with the same ingredients. I decided to give them a shot AND take before and after pics to see if they did what they were supposed to.It's been 2 and a half months since I started using this stuff. The pics don't lie. There's no filter on any of them and they were taken in the same spot under the same lighting. I'm amazed. Not only is this stuff effective, it doesn't irritate my eyelids which have become super sensitive in the past few years.I'm not getting paid or being given any free product to share this. I'm just excited that this stuff actually works.
",1,1
72,Amy Metheny,"
However I saw this product and it had great reviews and was slightly cheaper so I thought I'd ...


Ok so there is no miracle cream that will erase all your lines and wrinkles but this sure does help! I've been a religious user of Olay's regenerist since its advertised to be ""comparable to the the $400 creams"".  However I saw this product and it had great reviews and was slightly cheaper so I thought I'd give it a try.  So far the deep lines in my forehead have noticeably diminished and the overall texture of my skin is improved.  I'm 41 and have always had large pores and more recently the appearance of my skin was almost gritty looking like sandpaper.  This product has reduced the appearance of my pores, smoothed my face and completely fixed the  weird crepey pouch of skin on my neck!  I'm very pleased with the results and will definitely buy this again.  I'm now looking into their other products.
",1,1
73,DJ,"
Ingredients recently changed, now includes pentylene glycol—which really can't be called ""natural""


Loved this product a lot. Recommended it to friends. Then I go on here to reorder and I see that they've changed the ingredients. Pentylene Glycol is a (usually) petro-chemical based solvent and humectant that can cause dermatitis in many, including myself. :( It probably helps preserve the product for longer...but at what cost? :P Retinol is now further down on the ingredients list as well.Calling this ""natural"" at this point is really arguable.My friend shipped hers back and I won't order this again. :(
",0,0
74,trynabehealthy,"
great product


I have been using this product for a little over a month now and my skin seems to really like it. It has evened out my skin tone and moisturizes very well. I have noticed that the skin under my eyes is less thin/crepey and I attribute that to this product. I only use it at night and use Dermalogica Dynamic Skin Recovery with SPF 50 in the mornings. Very pleased with the results as my skin is very soft and just looks better, with makeup or without. I will definitely repurchase once this bottle runs out. Also, this is not a fake review, I am a real person who relies on reviews when looking to purchase items. Hopefully this helps others make a decision to purchase or not.
",1,1
75,Molly T.,"
One-way ticket to Break Out


I've read about the trials of retinol, and was hoping this would be a low-stress option. The cream applied greasy and burned after application -- and I broke out horribly the next day. I was suggested to use it intermittently to allow my skin time to adjust, but I've continued to break out Every Time I use it. What a bummer!
",0,0
76,Amazon Customer,"
Perfect for anyone of any age, great for people struggling with acne and acne scarring!


This is the first time I've ever taken the time to write an Amazon review, and it's for good reason. This stuff is AMAZING! I am 19 y/o and have always struggled with acne. I feel the need to always use foundation to cover up the dark spots and scars on my face because it's so bad and embarrassing to me. I also do a sport where I come into contact with a lot of outside stuff on my face, so it's really difficult for me to keep up a consistent skin care routine. I saw this stuff and on a whim asked my BF for it for Christmas. I started using it after I got it (5 days ago) and am already seeing amazing results. I use it once in the morning and once at night like suggested, and my skin is already looking improved. It healed some of the acne scars on my cheeks and has taken off a lot of the whiteheads. It's also making my face look more radiant and clean. I totally recommend this to anyone of any age who has or is struggling with acne and acne scarring. Granted, my scaring isn't that bad, but I notice it and the fact it is healing up makes me so happy. I love this stuff.
",1,1
77,Arubaluva,"
Hoping to be rid of milia


I purchased this because of reviews I saw regarding milia around the eyes. I can't comment if this will help because I haven't used it long enough. I will definitely rate again if this does the trick.I've been using this at night and in the morning. I have not experience any redness or irritation.Ok so after using product morning and night for 3 weeks are my results for milia. The milia is flattening and some is gone already
",1,0
78,Cjp,"
It left my skin super dry and it started to flake and become very ...


I used this cream for 5 days straight. It left my skin super dry and it started to flake and become very irritated. I stopped using it immediately. It is definitely not for everyday use. I felt as though it made my skin more aged and wrinkly.
",0,0
79,Summer Montuori,"
Really got rid of my actinic keratosis spot!


So I got this stuff back at the end of August and used it each night.  It wasn't making a difference and I got frustrated and gave up.  A few weeks ago, beginning of December, my dark patch, which is actinic keratosis, was getting rougher and was much more raised.  I could actually see it on my cheek if I looked down.  I decided to give the retinol another chance before the end of the year as I was planning on going to the doctor to get it removed in 2019.  Instead of putting a nice thin layer all over my face and rubbing it in I just put a small glop directly on the patch.  About a week and a half later it had softened so much I couldn't see it when I looked down any longer.  About a week after that the discoloration was gone.  I was, and still am stunned.  The first picture was taken August 29th 2018 and the second picture I just took now, January 7th, 2019.  The retinol cream, and less sun exposure, are the only things I've done differently but the results speak for themselves.  I've got a couple tiny spots on my other cheek.  I'm going to try working on them next.
",1,0
80,Luna,"
Acne & Hyperpigmentation


I really enjoy this cream. I have acne prone skin and was having a bad flare up for several months. It left me with a lot of hyperpigmentation and I wanted to switch my products to target this problem. I decided on this and their vitamin C serum since both have key ingredients to help that. First few weeks my acne got worse. I figured it was probably the retinol and I looked that up. Because retinol increases the cell turnover rate any acne that was forming will surface quickly as the skin ""purges."" So I just kept using it and made sure I was exfoliating regularly to help the process. My acne has dramatically improved since then. I am no longer in a flare up. My skin has less dry patches and the hyperpigmentation is lifting quickly. I use day and night with an added sunscreen in the morning. This will be a regular in my skin routine.My only complaints are:-The packaging. Because I have to order this online I wish I could better tell when I was running out. I love that I can pump out only what I need and it stays sanitary but not knowing when I need to repurchase is a bummer.-I wish it smelled nicer. This is really just a personal preference. The product boasts not having any added fragrance which is a good thing because it can cause reactions on certain skin types. I just wish it smelled a little more spa like, but that's just me. It's not a deal breaker.
",1,0
81,Amy J,"
Retinol..where???


I purchased this on Feb. 5th.I just used the last pump of this yesterday 3/29/2018.I loved the feel of this product on my face and it really worked well with my make up as far as did not get oily or greasy but thats as far as it goes. After a month of using this , I have seen no noticeable difference in the tone of my skin, nor the texture. Pores are still defined and laugh lines are still noticeable and the blotchiness is still the same.I question the amount of retinol in this product because you feel no tingling or redness that is a tell tale sign of retinol once applied. I really am disappointed. I did notice more pimples popping up on my skin especially on my jawline and cheeks.I dont want to leave a terrible review because i feel like as a facial moisturizer its really nice but as a retinol treatment...it doesnt make the mark at all.
",0,0
82,Ann,"
Not for me


I have been using this product for a couple of weeks now. I did start to see an improvement in uneven skin tone, and I started to see an increase of breakouts after a couple of days but that is to be expected. About 3 days ago I developed a subdermal cyst (a single occurrence of cystic acne) as large as a silver dollar to the right side of my chin that makes me look like I got punched. I'm not sure why this happened, but I haven't used any other products on my face (I don't wear makeup either) so I have to decide that it was this product.
",0,0
83,Gayle Traver,"
... bought this product hoping that it would be as great as some of the reviews that I read


I bought this product hoping that it would be as great as some of the reviews that I read, however this was not the case.  I found this product to be too thick and not easily absorbed into the skin without a ""film"" left behind.  I did not care for this, in addition, I did not notice any difference in the texture of my skin.
",0,0
84,lisa d.,"
excellent stuff!


This is a very good retinol cream. I have repurchased this product, and will continue to do so.Let me tell you about me - I am 47, white skin with a normal complexion for my age. I spent most of my youth and young adulthood tanning with reckless regard to the future. As a result - some sun damage, loss of elasticity, wrinkles are appearing (eyes, around mouth), skin on my neck is beginning to show signs of sag (whoa is that!). My pores are not fine, but i'd prefer if they were less noticeable!I started to use drug store retinols in december 2016. I applied them nightly. Some gave me that retinol irritation that left me feeling boiled. I bought this product in early march 2017.Upon ordering, I received a very kind email from the company thanking me for my purchase. I returned their greeting, and they responded back immediately. These are real people, and very nice ones too!The cream is packaged in a handy pump bottle. One pump of the cream is enough to generously cover my face, neck, and hands. I live in Maine which has been very dark and cloudy throughout the spring so I applied morning and night. It is not recommended to apply retinol during the day as the sun breaks it down, and can make your skin super sensitive to sunlight, but I thought - not sunny today, i'm putting it on!  I experienced no irritation with this product. I do experience a glowing complexion, wrinkles have softened considerably, and my skin is more firm. I love this product. I am complimented on my skin now! People are very surprised when they hear I am 47 - I am getting 35 (i'll take it!). I highly recommend this product. Very gentle, and effective.
",1,1
85,Walter H.,"
Ingredients not as advertised


Ingredients matter. So, please make sure the ingredients on the product page (see attached Product Page Ingredients) 
Retinol Cream Moisturizer for Face and Eyes, Use Day and Night - for Anti Aging, Acne, Wrinkles - made with Natural and Organic Ingredients - 1.7 OZ
 are the same as on the bottle (see attached Actual Product 1). i do not understand why it is so hard to find a decent retinol product that does not have unnecessary chemicals that are known to be potentially very harmful, like polysorbate 20. So many retinol products on Amazon, yet, all/cannot find one that does not have nonsense in them. Why?
",0,0
86,Mel,"
Recieved 2 Bad Products


out of the 3 times I have received this product, only one had not been expired out-of-box. The first time I sent it back and received a new one and it was fine. The product seems to work well. I purchased it a second time assuming the first one was just a one-time mistake, and disappointingly it was also bad. You will know when you get a bad batch because it will smell kind of like a mix of fish and garlic. it's really gross. I didn't even bother returning the product a second time, I'm just going to move on to something new.
",0,0
87,B,"
Buyer beware! Change in ingredients!


I thought the first bottle of this cream was pretty good. I didn't see a huge improvement in my skin but there was some improvement in my skin elasticity etc so I was happy to subscribe. However, when I got my second bottle I felt duped! The first bottle had primarily organic ingredients but the second bottle had none! I had noticed the first bottle looked slightly different, (see pic of opened bottle) than the second (pic with plastic still on it). The first didn't say ""high potency hyaluronic blend"" like the second one did. So, I decided to look at the ingredients and that's when I noticed the big change in ingredients. I think they changed their product. I'm so disappointed and it's too late to return. Buyer beware!
",0,0
88,Diane P,"
Firstly it is a smooth cream that is easy to apply and not oily


I have quite a bit to say about this product.  Firstly it is a smooth cream that is easy to apply and not oily.  It only takes a small amount and leaves your skin feeling smooth and silky.  I am in my 60's so don't expect anything to take away wrinkles but I do think my face is smoother and feels nourished.  It has lasted me a month now (I wanted to make sure it lasted at least that long) and is still going.  I did order another so I wouldn't be out suddenly and the day after I ordered it, someone from the company wrote me personally to thank me.  It must be a new company starting out because never never have I had that kind of customer service.  I hope they don't raise the price any time soon because it is better than the 60 dollar products I have had - have not spent over that ever.  So I have found my forever face  moisturizer and that is something pretty special to me.
",1,1
89,Gg,"
Smell


I’ve only been using the cream for a few days, so I have hope, but the smell is repulsive. It almost makes me not want to use it. It has a slightly fishy smell, as odd as that sounds...
",0,0
