,Unnamed: 0,Name,Review,Suggestion/Complaint
14,14,Bemused/whacky,"
It will take time to get use to them


As I said above - it will take some time to get use to them.  They stay on your feet easily (which was a concern).  They only negative is wear them around the house first to get use to them, wear socks as the sole (or insole) part actually rubbed my arch and caused some discomfort, but with socks everything is gravy.18/04/21 updateThey are simply fantastic. They seem to have moulded to my foot and are extremely comfortable. They don't smell and are very hard wearing.04/08/21They are still very comfortable however they are starting to split at the corner of the first strap, on the inside step-see the photo for details. It makes sense seeing how that where the foot bends.My advice is to get Birkenstock but make sure you get one when the leather doesnt bend with the foot when taking a step.
",1.0
15,15,Sir Pecan Gum,"
Lovely sandals but not for me...


The outline of the sole fits the outline of my foot nearly perfectly but the topography and rigidity of the sole feels like it will harm my feet.I don't have arch support when I walk barefoot. Haven't our feet have evolved so that our arches receive no direct contact pressure? When my running shoes wear to the point that I feel the sole contact my arches I bin them but evidently Birkenstock consider this a benefit?I've worn the Arizona EVA daily since buying them about a year ago and find them to be the most comfortable footwear I have ever had but they are much softer. I have now tried the cork/latex/leather version in both a 265 (as recommended by Birkenstock) and a 270. My longest foot is ~267mm and widest is ~257mm (circumference).I didn't even fasten the straps on them such was the discomfort of the sole. Returned. Amazon service exemplary - such that I feel guilty returning them. EDIT: Be aware that if you return an item via the Amazon Locker service, you have no proof of the return! A month after returning these, they still show as ""in transit"" and Amazon has sent me a reminder email to return them. Unacceptable.
",0.0
16,16,AJ,"
Birkenstock Arizona


I have been using Birkenstock (Arizona model) since I was a young teenager and when my last pair was practically destroyed, after more than a decade, I bought a new one. I chose the black coloured version. Very comfortable and suitable for all seasons (I use it only at home). Excellent value for money! I purchased it at 30% less than the price in Birkenstock/physical stores. It arrived as scheduled (with Prime, the day after my order was sent). Great product - highly recommended! Amazon service impeccable as usual! Five stars to both.
",1.0
17,17,Cocutz,"
She tells me that they fit very well and her feet are comfortable all day long.


I bought this for my mother. I gave her a pair a couple of years ago and she didn’t want to tell me that she wanted a second pair. Instead, she bought sandals that looked like those but they were not right for her. She was so happy when I bought her this second pair! She tells me that they fit very well and her feet are comfortable all day long.
",1.0
18,18,Sir Pecan Gum,"
Lovely sandals but...


Very nice sandals but despite following the Birkenstock size guide and confirming by email with Birkenstock a size two sizes smaller than I usually wear in non-Birkenstock shoes, the sandals are indeed too small. The returns process - something that previously gave me cause to worry and on this occasion more so - edit: that said, the sandals have been returned and I've been refunded.I've tried a few pairs of Birkenstock Arizona and Milano sandals and the quality varies enough to be quickly noticeable. Damaged / separating leather, glue smeared beyond contact surfaces, contact surfaces not glued in places, holes for buckles not evenly spaced and beginning in different places on the straps and two pairs that I have bought have not been size labelled correctly. For the money paid, in my opinion, not good enough. Birkenstock customer service by email is also very poor.Amazon service is excellent - I think it is beyond what can be reasonably expected.Edited as I think originally I was too harsh on Amazon and too lenient on Birkenstock. I have returned my last pair of Birkenstock sandals, it seems, after many pairs tried, they aren't for me. Marketing wizardry? I'm inclined to think so.
",0.0
19,19,Jo,"
Could be wider ..... you can make them smalller


Lovely shoes but if u have wide feet might be still too narrow I but berkenstoks cause I have wide feet but after 1 hour of wearing them started to rub and hurt feet .... I put them on the largest hole on buckle ... my daughter loves hers ..... I’m still going to try amd wear them to see if they stretch a bit .... the foot bed is a lovely berkinstok one so that’s all good .... worth buying the named ones as they look rather nice !!!!
",1.0
20,20,Bollard,"
Birkenstock sizing? Here's the answer :-)


*Review edited 08Jan2016Summary:These are good Birkos which have replaced a 10-year-old pair and seem as well built as ever. Personally I prefer the harder footbed, not the cushioned one on this product, but it's a 50/50 matter: for me the harder (original) footbed offers better arch/sole support and doesn't grip my socks* as much as the cushioned footbed. However, you may find that the cushioned footbed is a little warmer and easier on the feet. Since buying this pair I found that Amazon sells the Arizona with both types of footbed, so look around a bit for the version you want. Whichever you choose, you will find superior build quality and good ergonomics. If you are a 'first-timer' with this type of sandal, perhaps the cushioned footbed would be a good way to start.Sizing and fit:My first pair, bought around 10 years ago, was UK9 (men) which translates in Birko/European language to EU43. I lost some weight, so for the new pair under review I chose size EU42 (UK8). Both old and new pairs have the image of a foot in outline on the footbed: this means 'regular' fit. (A solid image on the footbed would mean 'narrow'.) Side by side, the new Birkos (EU42) are shorter than the EU43s (duh!) so there's less overhang at the heel and toe and I am less likely to crash them into the furniture. When they were new and I was breaking them in, I found that my toes sometimes crept over the 'ledge' at the toe end, but now all is fine after some adjustments to the straps.Below I give a link to what appears to be the Birkenstock UK website page about sizing. Actually, it's pretty easy - the Europeans do it better than we do in the UK! In Europe there's just one range of sizes so, irrespective of gender or age, whatever size your foot happens to be, that's the size you choose. You'll see how this works if you visit the link.www.birkenstock.co.uk/Article/View/articleCode/Sizing/In case Amazon zaps the above URL, here it is in a different format. To use, replace [dot] with a dot and delete all spaces:www [dot] birkenstock [dot] co [dot] uk /Article /View /articleCode /Sizing/*Yes, I wear socks with sandals. Once you've had sunburnt feet, you don't want them again :-) Nearly a year down the road, the cushioned footbeds have become smoother and less grippy and I am pretty pleased with them.
",1.0
21,21,D Wilson,"
Comfortable, durable and very cost effective (just remember to adjust the straps)


I was a bit nervous about paying the price for these shoes as they are priced at the upper end of what I wanted. Indeed, when I got them I was also initially slightly worried as they didn't seem to fit properly. But after a couple of days I would never go back to the cheap and cheerful alternatives. These are excellent! The material they are made of is very high quality. The two adjustable straps mean they fit very snuggly (my initial problem was the straps weren't adjusted correctly). I have also (foolishly) worn them into the sea, but they have remained undamaged and are still almost like new. I would therefore highly recommend this product.
",1.0
22,22,YR&RRK,"
Stylish


Really nice sandals.They look stylish and great colour. Overall first impressions are they look great with great underfoot groves to help with the feel under foot.I really like the sole very gripping.The feel under foot is great and over time moulds more to your foot.We really looked into the sizing and had to go a little size bigger than normal for a good fit.
",1.0
23,23,Trickster,"
UK Men size 12 = 44


I'm a UK 12 and worked out I would probably need a 44 or a 45 in these from the reviews.  Took a gamble on 44 and as it happens whilst they were being shipped to me I got a chance to try some on in a shoe shop.  The 45 was too big and the 44 was just about right.  I think in an ideal world i would want a 44.5 but they dont do that size.  They arrived today and the 44 is the same size as the 44 I tried on in the store.  My feet stay within the sandal well without touching the surrounding bits that rise, just.  45 would have been another 5mm longer and would have been too big.  I understand that as the cork squishes a little more room will be freed up.  I think my feet are an average width, never notice probs with regular shoes so went with M and when tightening the buckles I am one notch from the narrowest.  Therefore i could have probably got away with N but certainly now W.  That said where my feet sit they are comfy so N may have been too tight.What else is there to say?  they are good looking and although stiff now I know will soften up.  Nice quality pair of sandals that were £44 in high street.So for sizing.  I would guess UK men 9-10=42, 10-11=43, 11-12=44..  something like that.
",1.0
24,24,Liz,"
Great fit, even for my wide feet .


I have very wide feet , annoyingly so . I find it hard to find sandals that are comfortable , supportive & durable . I was undecided as to whether to go up a half or full size because I usually have to but after reading reviews I risked it & ordered my usual size.  I was very pleased when they arrived as they're a great fit,  adjustable & comfortable.  Glad I bought these .
",1.0
25,25,Liz,"
Fab customer service


A little uncomfortable at first as my feet got used to the cork moulded insole. However they are now THE most comfy and supportive footwear I have ever bought. Very efficient service from the company. Fast and free delivery and cheaper than uk suppliers for exactly the same product.
",1.0
26,26,AaG,"
Bargain


I ordered the normal fit first but didn’t like the look and fit at all, the narrow fit is definitely muchbetter, I am uk 4 bought uk 4 narrow fit, still a bit larger for me in length, also taking me a while to get used to the stiffness in the sole, have been wearing them indoor to get used to. But still, such a bargain in this price, worth it.
",1.0
27,27,JillPTCarlisle,"
Even Nicer than I Expected.


This is my third pair or Arizonas this year - having only just discovered them. After a lot of research, decided that Eu40 Narrow fit is the size for me (I wear U.K. 7-7.5 AA width or U.S.A. 9-9.5 AA) and my foot fits comfortably inside the footbed without spilling out over the rim in this size.  I much prefer the real leather versions and now have a Smooth Leather pair (Navy), a Natural Leather pair (White) and now this new Oiled Leather version in Habana.  Oddly the Habana pair look a little neater than the White ones (for all that when I put them sole to sole they measure exactly the same!) - it must be an optical illusion!  Anyway, the Habana are a gorgeous dark chocolatey brown and the finish on the oiled leather make them look almost satiny and they are finished off with most attractive coppery toned buckles! All in all I'm very pleased, the service was excellent and the price very good too.  I wish more were available in genuine leather and might look out for Milanos next (i.e. Arizonas with a back strap)! By way of interest - I went to a shoe shop to try a pair of Rio (I think!) but they only had the Regular width available and they were vastly too wide for me - but they were a women specific style so I am convinced that there are generally only the 2 footbeds and, therefore, the Narrow footbed in the Unisex sandal (like Arizona) is also the same as it would be in the Women specific versions. Also have discovered that Birkenstock do a width called ""Medium"" -for in-between feet - but only in selected styles. For those like me with very narrow feet, it is possible to add extra holes to tighten the straps further if needed and after the ""breaking in"" period they become really comfortable and I like the quirky look (although I also think this Habana version is also a bit smart!).
",1.0
28,28,Xander,"
Birkenstock is Quality Brand


Birkenstock Sandals are products my whole family wear. The cork foot-bed with its thin layer of fleece topping make this foot wear a comfortable while also being very durable sandal. For those not familiar with these type of sandals they may be uncomfortable to start with but after being worn for a period of time and exposed to the heat from your feet they mold/adapt to the wearer feet; This makes them uniquely comfortable.
",1.0
29,29,ThingFish,"
UNWEARABLE, AWFUL


I can imagine that these sandals could be very comfortable if your feet were the perfect shape and size for them. However; I found them to be the most uncomfortable I have  worn.I found that when my heel sat comfortably in the pre-formed hollow, the built up instep was wonderful, but the ridge for my toes sat midway across them, which dug into them when I walked.. It really hurt.It is very risky buying pre-moulded shoes, the chances of your feet fitting what the manufacturer's consider to be the right shape is a gamble.There was also no receipt, returns document or paperwork of any kind in the packaging.If you want a pair of these, don't buy them on-line. You will probably need to try several pairs on.. I am a size 8, and every shoe that I have purchased in the last 40 years have fitted fine, but these are unwearable, and not cheap.I am really disappointed in them
",0.0
30,30,Bev,"
WATCH THE SIZING ON THESE


ordered the size 44 for my husband as according to the sizing info it said this was for a size 10.  However, when they arrived they were too big.  I had to return them and order the size 43 instead, which according to the info said it was a size 9??  My husband was initially very disappointed and I was annoyed that I had ordered as per the sizing recommendation page and they were too big and I had to go through the hassle of returning the original ones.  I don't usually have to return anything.the new ones arrived yesterday and even though the sizing when I ordered said they would be a size 9 - they are indeed a size 10 and fit correctly.  How confusing is that!  they are lovely sandals however, and look great on - when you get the right size.
",1.0
31,31,cobriza,"
Unlike some other big-name products, these shoes have never deteriorated in quality.


I've been buying Birkenstocks for many years because my idea of a good shoe is one that protects your foot while feeling as much as possible as if you were walking barefoot. The remarkable thing about backless Birkenstocks is that they are so well shaped that they don't constantly slide or fly off your feet. You can run, swing or dance in them, and in summer I walk for miles across rough fields in them. They last for years even if used constantly and their soles grip well even when severely worn. The one thing that I think the makers could improve upon is the glue used to join the cork to the rubber layer of the sole, because this has failed on me twice. I have to admit, though, that this has only happened after years of splashing through water and mud in them!
",1.0
32,32,Ashley Robertson,"
Would definitely recommend Birkenstock


A huge fan of Birkenstock now!Always avoided getting one because my feet are narrow and I felt any Birkenstock looked big on me. I was definitely wrong - they’re comfy and look fine and I would recommend Birkenstock to anyone (as long as they last a while because they’re not cheap)
",1.0
33,33,Amazon Customer,"
Cost of return ridiculous


It wasn't made clear at point of sale that if you choose to return the item you have to pay for postage. To Germany. Which cost me £12 from the UK. I wouldn't have bought the item had I been aware of this upfront. This has put me off ordering a smaller pair as the first pair were enormous. The quality of the item is fine but not they are fake leather not real leather which again isn't that clear in the listing.
",0.0
34,34,sfs,"
Men’s Birkenstock’s


Ive always worn this style of Birkenstock’s, for years, so at the moment after a 1 week of wearing them it’s as I had expected them, comfortable!They’ll need adjusting around the 2 or 3rd well possibly!But all in all, and at the moment, they are Worth the money spent on these!
",1.0
35,35,Rainen,"
best sandals in the world


I wear these sandals every day of the year.  My last pair lasted 3 years.  Glad to see there have been no changes to this product in that time as there is nothing left to perfect.  Despite having no backs... this sandal stays well placed even if you need to run.  After about 2 years the bottom rubber starts to separate from the cork...but it takes another year of battering before a new pair finally has to be purchased.  The sandal will feel a bit 'hard' when you first use them...as they cork molds to your foot...so give it about 2 weeks to wear in.  The longer you wear them...the more comfortable they become.
",1.0
36,36,RM,"
Disappointed


Unfortunately I received the wrong item. I ordered a pair with leather uppers with black buckles and black soles in a stone colour. This is clearly what the picture showed i was buying when I ordered. I received a pair with bronze tone buckles, brown soles and synthetic uppers in a stone colour. This may well have been a simple mistake but since I am not in a position to be able to return this purchase I'm stuck with a pair of shoes that are disappointingly not what I wanted and not what I thought I was buying. Not impressed and won't be buying again.
",0.0
37,37,Jan,"
Heaven


I have an old pair of Fussbetts which i think are Birkenstocks under a different brand name which i bought in Germany many years ago and discovered them in the back of my wardrobe.  These are quite old and very comfortable, made a change from wearing my fitflops which i have done for the past years so i thought i would try a proper pair of birkenstocks.  These are just lovely love the colours and the straps ARE leather which is a bonus. Soooo comfortable be sad when the winter comes and i am back in boots.  Good price lovely shoes.  definitely want another pair!!
",1.0
38,38,Sarah,"
Comfortable, look good


I've worn Birkenstock sandals/clogs in the summer for a few years now, and these are just as comfortable as the previous ones I've had.  I don't really know what else to say about them.. I like the black glitter, it's a bit different without being too ""bling"".  I find the ones with multiple straps more comfortable than those with just one strap, as they sit closer to the foot and don't ""flap"" as much with each step.  I always take a size smaller than I'd usually order in Birkenstock, I am usually a 38 or size 5, but 37 or size 4 fits me perfectly.  Overall, am really happy with these.
",1.0
39,39,Elizabeth Jane Wade,"
Good value for money


These are my husbands third pair he loves them. Fit is true to size, they usually last him a couple of summers good value for money. Fast delivery and cheaper than other retailers selling them
",1.0
40,40,Meliss:),"
Nice sandals, but don't last long


Needed some new sandals and thought I'd try some birkenstocks. At first they were really uncomfortable but after a few wears they improved. I'm a bit dissapointed as after little over a month of wear the straps are coming unglued from the sole and the edges are now rubbing my feet and causing blisters. Ive not got them wet or washed them so not sure why this has happened. I was hoping that as they are quite pricey they would be good quality and last a while but it looks like I'm going to have to buy something else now which is a shame because I was starting to really like them.
",0.0
41,41,dodos,"
Bargain Birkies!


I have given this product a rating of 4 stars because the sandals are very well made and the materials are of a high quality.  The colour shown online is a true representation of the actual material colour,The reason I did not give them a 5 star rating is that the sizing is a little on the large side - despite me ordering a size below my normal show size as suggested in a previous purchaser's review.  Perhaps I should also have requested the ""Narrow"" width fit or perhaps it's just the way ""Birkies"" are made or the fact that I have'nt got used to them yet.  Either way it wasn't such an issue to cause me to return them.They are very comfortable though and the price I paid online compared to the prices you see on the high street was excellent.
",1.0
42,42,Golfer,"
Not regular fit!


Please note these shoes are Narrow Fit, not Regular as stated! However, I have other pairs of Birkenstock shoes, both Regular and Narrow, and my feet are wideish, and these are still good, and I take a 41 size. The straps are leather.
",1.0
43,43,Wulfsten,"
Painful at first, but great now!


These sandals had a very significant breaking in period for me - for the first 3-4 days of wearing them they were quite painful, as the moulding that is supposed to match your foot's shape doesn't quite match it exactly. It feels almost orthodpedic, but I found it difficult to walk for more than 2-3 hours a day, as I am used to. After this period though, the sandals break in beautifully, and now they are extremely comfortable. Great design, the sole stains quite quickly from its initial colour but this looks attractive and ""aged"" rather than dirty.
",1.0
44,44,Aoife Fleming,"
Stylish & comfortable but didn't last as well as I hoped.


I love these sandals and they feel so good on my feet.  I am usually a size 7 or 8 and have a wide foot. These are a 41 and fit perfectly.Unfortunately they have worn out a lot quicker than I thought. I purchased them in May 2020.  I was expecting to get years out of them but feel I will have to buy another pair for next year.
",0.0
45,45,rainbow,"
Narrow not wide fit


Love the 2 strap birkenstock, I've worn them for years. Sadly the ones sent were narrow despite not being titled or detailed as such. After lots of looking for 2 strap birkenstocks in this style (ie sydney) they only seem to come in narrow, I was being optimistic ordering these.
",0.0
46,46,Derek,"
Seem promising


Haven't had much opportunity to break them in but on first try and initial adjustment they're fine; hard, but that's because they're new.  When the leather softens and the final adjustment is made I'll have a better idea.  But no complaints.
",1.0
47,47,Amir Shtaiman,"
Disappointed - not comfortable


I heard a lot about birkenstock before I bought it.After one month of use I can say that this shoes not comfortable at all.The size fit perfect ( I recommend you to take one measure below your normal size )I expected much more comfortable shoes, At first I felt that I was really suffering and after a month I began to get used to it but still it's not as it should be.I read a few article about it and I found that I'm not the only one - if you google it you will see guide to wear this shoes 30 minutes in the first day, than 45 minutes till you get use to it.Despite the disappointment, I will continue to use shoes because they cost me a lot of money.Maby after a few months I will get use to it - I don't know.Don't buy them online, that's my recommendation to you - go to try it in the store before you go online.
",0.0
48,48,Karia..,"
sole lacked soul


I know some people live in their Birkenstocks but they just did not suit me.  I found the moulded sole uncomfortable, even after a few minutes.  It is stiff and I prefer a softer, more pliable shoe, also the moulding just felt too uncomfortable, coming in all the wrong places for my foot.  The straps could be adjusted to fit any width of foot and were made of relatively soft leather.  I found the distribution of the straps good for me as there was one high across the instep which held the foot.  Afraid I sent mine back after a relatively short trial as I decided I would not get on with the stiff, moulded sole.
",0.0
49,49,Grey,"
Narrow Fit


I couldn't understand why these felt so wrong then I checked the little info pull down menu and realised they are a narrow fit. I wish they would make this more obvious in the description. The returns process is taking a very long time for reimbursement.
",0.0
50,50,ChisChas,"
The Best Sandals


I already a pair of these Birkenstock sandals so I knew how good they were. I thought it would be best to have a second pair for the warmer summer months. Highly recommended.
",1.0
52,52,Kath,"
These are the narrow fit, not regular


The product description says it is regular width but these are actually the narrow width. On the Birkenstock website it explains that when the foot symbol printed on the shoe is filled in, it is the narrow fit (as opposed to the outlined symbol which is regular), and even the shoes in the picture for this product show that it is filled in, so it's not like they just sent me the wrong size.
",0.0
53,53,japagow,"
Good sandals.


I have admired these sandals on other people's feet for too long.They look comfortable and well made and supportive and hard to take off as they are all  of the above.Now I have my own pair I must report they are comfortable, well made supportive and hard to take off because of the above.
",1.0
54,54,Pat Jackson,"
Great service and product, thanks!


Quick service from Bells Shoes, Buxton, Derbyshire, through Amazon. Good price and fast service wins the day! These shoes are soooooo comfy, and the more that you wear them, the comfier they get. Had four pairs now, I wear nothing else most of the time, on my feet I mean. Would recommend the product and the supplier, can't fault either.
",1.0
55,55,Kate Smith,"
Not very comfortable


I had read that it takes time for them to mould to your feet - I’m still waiting. They are hard on the soles of your feet and on first wearing them for half Aday gave me a blister on the instep. The thing I really dislike ( and it may be just me?) - they make my feet very sweaty😟 I will persevere as friends have said it takes time for them to feel comfortable.
",0.0
56,56,Naomi Gordon,"
Ugly glue stains on inner sole and base of sandel.


Ugly glue stains on inner sole and base of sandel. Very poor construction and visible ugly glue on sandal. They also run slightly small as an FYI. Bought as gift but returning due to poor quality; I would be mortified to offer these as a birthday gift. Amazon chat was helpful in organising return shipping fees refund due to defect.
",0.0
57,57,Sunrise7moz,"
No box & uncomfortable sole


Arrived in a plastic bag with no box.  Had to return as the right sole was extremely uncomfortable.  Never experienced that in 20 years of wearing Birkenstocks multiple styles.
",0.0
58,58,Jayne Hardy,"
Birkenstock Newbie who will be buying more


This is my first pair of Birkenstocks and will be purchasing more shortly. They are just as described and arrived in perfect condition. The only advice I would give is to try a pair on in the shop to give you an idea on sizing then order them, which is what I did and found it very useful. They do need bedding in when you first get them but no different to purchasing any new footwear. HIGHLY RECOMMEND.
",1.0
59,59,Amazon Customer,"
Sizing issue.


Gorgeous sandals but slightly narrow, they are normally perfect fit for me, then realised I had been sent a narrow fitting pair.Went back into site to check, there is no choice of fitting to choose from so much watch for this. They will probably give a little,otherwise, beautiful print and a bargain price, I have dozens of pairs of Birkenstocks as I have a really bad back and Plantar Fascitis, which is excruciating in the winter, come spring pop on Birkis and the pain is a lot better!!! Thanks M.
",0.0
60,60,Bertie,"
All time great!


Had these when I was young and thought I would get a pair out of nostalgia. Now I remember why they are so great and have stayed popular all this time. So comfortable and simple. Very light and easy to wear shoes, I should definitely keep a pair in my collection.
",1.0
61,61,Amazon Customer,"
Covered in glue, scratches and come in a box from a different shoe


Very disappointed as the sandals came covered in glue splashes and scratches which makes me doubt if they are original. The box they came in was also from a different pair of Birkenstock shoes with stickers covering the original model/size.Will be sending them back.
",0.0
62,62,Steven clowes,"
Perfect fit- Birkenstock’s are the best


Comfy and they look coolI love them! And on amazon they’re a great price!This seller sent them very quickly, so go the seller!These are perfect for every day use and to be honest great for holiday long walks :)Make sure before you go on a long walk you wear them a few times though because your feet have to harden up a little
",1.0
63,63,PaulM,"
Excellent - comfortable and durable


When I was ordering this, I got a message on screen saying that I had last ordered this item seven years ago. During that time I have worn the previous pair every summer and on winter holidays. They are looking well worn (mainly due to water damage) after 7 years but would last longer if I was prepared to put up with it. The water damage is due to the soles being cork and although the cork is coated they are not made for wearing in the rain during an English summer. I have also worn them when jet washing the patio so they have had a hard life. This is not to criticise them, they are very comfortable and 7 years of use (and abuse) from a pair of sandals is very good.
",1.0
64,64,fabien ecard,"
Great concept - Poor quality


I have had theses before in Leather and wanted a sustainable alternative. However these have now split (see photos) after barely 8 months of casual wear indoors. Not quite the quality I was used to and not my idea of wear and tear as argued by the seller. Overall poor value for money. Go for leather if you can
",0.0
65,65,Graham,"
Poor


They were way too big ordered 43 for a size 9 and they were massive. I bought these shoes for my son I am a size 46 and these fitted me just but they fitted? They must be fake or wrong size?They are also grubby and have been worn dirty on the insole you can see dirty toe marks.I am returning them and will buy real genuine birkenstock shoes from from a store.
",0.0
66,66,Ira,"
Comfortable!


This pair of slippers feel great. Don't be put off if they feel too hard initially. I think it'll normally take a few weeks for the soles to soften and to mould to the shape of your feet. After breaking them in, they'll be the most comfortable pair of slippers that you'll ever have!A word of warning though. When you order, remember to check out the sizes on the Birkenstocks website. My feet measure 260mm normal width. When I buy shoes, I normally wear US size 8.5 or 9, UK size 8 or 8.5 and Europe size 42 or 42.5. However, I needed a size 40 for the Birks. So remember folks, when buying stuff online, remember to check the EXACT specifications to save yourself from sizing trouble. Kudos for Birkenstocks to put up an exact foot size chart up. All footwear companies should do this instead of the typical numbering that they use which is not precise enough.
",1.0
67,67,Pandamedic,"
Order one size down


I orignally ordered my shoe size in these but when they arrived it was too big. I ended up returning them and going for a size down to what i am. That seems to work and fits a lot better. Not use to sandals with just a strap over the foot, but they fit well and are comfortable when walking.
",1.0
68,68,Fiona,"
Check out the width sizing


I'm very pleased with these, finally! It took me 4 orders before I worked out the sizing - although I don't have narrow feet I still ended up needing a slim fit - also called narrow but the only way to be sure of this is to check the foot symbol on the shoes. The amazon pages don't always make it all that clear. Unless you have very wide feet I'd recommend thinking about slim fit.Well done to Amazon for their free returns and prompt returns repayment.
",1.0
69,69,Sonsu,"
Usual Birkenstock, nice colour combination


If you know Birkenstock it’s the usual fit and comfort.A practical sandal that can be used as house shoe and also to go out.I like the brown colour, the colour, with the sole also brown it is a good combination with the cork.
",1.0
70,70,Eva E.,"
Birkenstocks - the original and the best.


My wife's newest favourite possession. They fit her perfectly and are very comfy. For the first few days they threatened to rub a little, but she avoided that by applying a blister-stick to the tighter areas each time she put them on and within a few days they were no longer rubbing.I have applied leather balm to these to condition the leather, and we bought a ""cork renew"" product to re-coat the cork as the protection wears away through use. She's very happy with them and I may well buy a pair myself!
",1.0
71,71,Cliente Amazon,"
Very comfortable slippers!


The only downside is that the shoebox was really dusty, old and shabby, and the slipper looked like it had already been worn (or at least ""tried on"" by someone else... there were definitely prints on it).Despite this, the quality-price is worth it!I use them to stay indoors and they are ver
",1.0
