,Name,Review,Suggestions/Complaints
12,Adi,"
You cannot control volume of your Bluetooth device



  It is a really good streaming device . Apps work perfectly fine . You can sideload 3rd party app easily . Remote is fine , voice control is perfect , installation is simple , streaming quality is great.BUT WHY 1 STAR??you cannot change the volume in your Bluetooth headset or airpods which don't have its own volume control . Well i usually watch movies at night while others are sleeping so I prefer using Bluetooth headsets . Whenever I pair it with firestick It always plays at 100 percent and makes my eardrum tear and made me switch off tvThis is a basic function which can be included in a firmware upgrade , but as of 30th June , there is no update regarding this .So yes if this is important for you , u choose other streaming device .Btw i fall in love with their remote😍

",1
13,Radhakrishnan S,"
Product not functioning



  I purchased the product in May 2021. It stopped functioning within one month. I requested for an replacement. The customer service execute informed me to buy another Fire Stick and will replace the one one once I purchased a new one. It is more than a week I bought a new fire stick and also informed the CC. Unfortunately there is no feedback from them. The old product was not replaced. Is it a punishment for me to buy your product and I have to pay for a faulty product. Please expedite.

",0
14,GSV,"
Fairly good needs lot of tinkering



  Connected my airpods to firestick. And the volume doesn't work. Sound is too loud on the ears. Volume decrease on the remote doesn't reduce the volume in the BT airpods. Result sound too loud and jarring. It is shocking that a company of the calibre of Amazon can produce such ridiculous product. High time they come down from their perch of lord and mighty and think of ideas to give customer satisfaction. And on the upside I must say everything else is real good about this firestick

",0
15,Magesh S G,"
Excellent Streaming Device with Picture and Sound Quality



  I was using LG 4K TV with WebOs 3 and i dont have recent streaming apps as it not available in my smart TVI have ordered HD Firestick 2021.My TV Supports HDR ...I would have ordered 4K but for me itseems costly..Pro:Super UIFast SettingsHDR !!Dolby Digital Plus ,Dolby audio as my TV supports only this.Connected with Yamaha AV receiver and i could able to get DD+ 7.1 from Dolby Atmos Content in amazon Prime.Sound Quality is awesome...Picture quality was fabulous as my TV supports HDR and ultra deep colour it detects and restarts tv to enable in that HDMI port...The moment i have turned on it install latest Fire Stick SWCons:Not for Device.I have logged in with my amazon account in FireTV.I could not get install the Disney+Hotstar its shows app is not availableThen i have called customer care and they helped to set my country to IN in account as i used same account in Germany(.de) as wellAfter that all india streaming apps are visibkle (voot,Hotstar+disney,SunNxt,...etc)Overall happy with purschase will update after few days of usuage!!!

",1
16,siddesh Attavar,"
Stuck in a Boot Loop with Fire TV logo animation



  Had a bad experience with purchase, as the device got stuck in a boot loop just kept showing the firetv logo animation. Have to return it back

",0
17,Suryatej,"
Made in China



  In the product description it says 'Made in India' but on the package box it says that it is from China .This is very misleading

",0
18,Sandy,"
Never thought Amazon would cheat



  I ordered a fire tv stick 3rd gen 2021 during the recent Prime Fest of 26th & 27th July 2021. At the time of ordering the product detail very categorically said that there is a One Year free subscription to Sony Liv, ZEE5 & Voot bundled along with the product. This was in the description section of the product that I ordered, hitch was very promptly delivered to me. Now when I enquired with Amazon helpline about how to activate the free subscription, the customer support denied any offer like this & now I am supposed to pay separately for these subscriptions. How I wish I had taken a screen shot of this & kept with me. At least would have saved myself from the misery of being denied of what was promised to begin with. I don’t know how that promotion appeared there, could have been a technical glitch on the part of Amazon but I am sure I bought this with the subscription which is now denied. It a shame for Amazon to get so petty & completely disown the responsibility to fulfil their offer. I just feel cheated to the core.

",0
19,Manpreet Singh,"
Doesn't Support Voice Search



  The most important thing on which amazon in betraying us is that it doesn't supports voice search. For example alexa button is there but it can only play things on amazon prime video. If u open zee 5 or youtube you will not get the mic button to search and will have to press the assistant button which will take you somewhere else and will not search for things we want. It UI is excellent but this voice search is the main issue. Thats why you should be going for mi stick.

",0
20,Shiva Kumar.A.S,"
Fire TV Stick (3rd Gen, 2021



  I was forced to buy Firestick 3rd generation after my Amazon Firestick First Generation stopped working. It was working fine till afternoon and after showing Software update in progress, it got stuck and never worked.I called up the Executive and after trying everything was asked to take it to nearby center. As the center is quite far, I didn't go, but ordered the third generation instead.I wrote to Amazon, if they are selling the product, then they should also provide after sales service. They can always charge. No issues.The person should visit home to rectify the problem. Trust me, there have been instances when some Electronics company sent a technician to home, though the equipment was worth only 2000 Rs.And here we are talking about an equipment costing Rs.4000 to Rs. 6000.How can an equipment stop working while updating software, still I can't get it. Is that deliberate so that Customer buys the new version?Not to say, I regret buying the third generation Firestick. It's a great experience. Great sound. It's a marvel. Amazon always had been my first Choice.The only letdown was equipment stopped working during update. Never heard of. Amazon should regard loyalty.Almost Each day, can you believe it, we order something from Amazon. Please check records.

",0
21,ABHIJIT,"
Device switching off every 2 minutes and no sound



  1)While setting up device keeps getting turned off every 2 minutes.2)No sound while playing anythingAfter few hours it everything got okDevice did not switch off and sound was back.Now after 3 days same problemDevice is switching off every 2 minutes and no sound.Is there some software issue with the device or device is faulty?

",0
22,krishna,"
Disappointment From Amazon



  Nothing gets displayed after fire stick logo. Blank screen came. Never expected this outcome.

",0
23,Subhankar,"
True review



  Quality of the product and packaging is really recommendable. I brought it at a great price of 2799. The stick supports maximum 1080p videos (I tried with my 32inch led). Sound is stereotype. Not tested whether it is dolby digital or not. It supports both 2.4 ghz and 5 ghz of internet. Remote is quite handy. Alexa voice responses are recommendable. Interface is attractive and fast. Pairing of remote with the tv is done automatically on first setup and even one can set other consoles by going to add remote option which is available in the fire stick. Remote provided is RF type. One thing I disliked is the pressing of remote buttons. It should be soft press rather than hard press.I would personally suggest to go for it if anyone wish to buy.Thanks for the deal Amazon

",1
24,Amazon Customer,"
Disappointed



  Once the fire TV stick is on, the colour logo is loaded half and then disappeared. After then no response in tv only black screen display.

",0
25,R N Tripathi,"
Wastage of money, unwanted product for smart Android TV.



  Totally disappointed. Wastage of money. Not required for smart Android TV. Might be for small normal TV. Price is too high. Better quality products with latest specifications are available in the market at very less price. Not satisfied and not recommend to buy.

",0
26,Amazon Customer,"
Keeps restarting



  Such a waste product..bought it to make my tv smart..but it keeps restarting itself and is of no use..i have been a regular customer of Amazon..but after this deception ..i think they are not worth your money..Amazon please replace my fire stick

",0
27,Traveller Sakha,"
Don't buy it. Not that great device



  Update: After using for 10 days of usageDevice is up to date yet the wifi capturing frequency is pathetic and it keeps losing the connection. I spent half of my time fixing the connection issue and it ruins the user experience.Returning it. Don't go for it. Highly recommended.Took 4 hours to watch 2 hours movie. Have turned off auto updates, changed settings still it takes forever to load though the internet speed is 35 Mbps.

",0
28,Anoop M G,"
Pwoli saadanam!



  My Sony bravia non-smart tv has in-built Prime and Netflix app and few others but no Disney Hotstar. So I decided to buy this Firestick and ended up with out of the box experience! The picture, audio and streaming clarity this gave was far far better than my tv in-built apps!!!Plugged it in directly to my JBL soundbar which has HDMI-in passthrough rather than connecting to TV which gave crystal clear sound. Have to be patient for the initial setup. After that just relax and binge!! Terrific purchase!! Thank you Amazon for the offer pricing too!

",1
29,Sanket,"
Hardware still feels like there is a ui lag not snappy



  Mi Tv Box 4k at 3500 is still a better deal compared to this it's older than this but it's always been faster than my firesticks in terms of ui navigation.This firestick is not bad it does what it's supposed to do has a new menu system. All major streaming services work but I always feel that there is a slight lag on the user interface Amazon just bloats the home page with so many options I just wish I could just turn off all thr suggestions and that would speed up the ui. I just want to see my apps on the home screen not all the suggestions which is as is slowing down the ui and at the same time overflowing my home page with junk suggestions.

",1
30,Deepak Rao,"
Awesome Product. Worth every penny😇



  I am giving this review again after using fire tv stick for the last 1 month. Previously I gave 4 star rating because volume and power buttons were not working due to videocon tv compatibility. But after some days Mr. Naresh(Technician team) called me and forwarded a mail to me for again remote setup and update. So I followed all steps as I received on mail and I am so happy to share my review again that now my fire tv stick is updated and all buttons are working finely. I m very thankful to Amazon for providing super best service and also to Mr. Naresh.. Product is really awesome. Go for it blindly✌✌

",1
31,PARAS MANI GOEL,"
Live tv did not worked properly.



  Product did not worked properly. Live tv tab was not showing any Channel. Returned without any hassle , thumbs up to amazon team for timely delivery n tension free returns!!

",0
32,Anuj Chandiwala,"
Good product



  The quality of fire stick (3rd gen, 2021) is much much better then fire stick of 2020. The quality of sound, stram quality is much higher then older one. I used both the type of fire stick.

",1
33,vazrapu,"
Even amaxon fire stick can be defective ! Never expected this



  Received a defective piece,which would not connect to wifi and even a brief connection happens,failing again and again,have checked with different networks & tried on alternate HDMI ports,but problem persisted

",0
34,Sunil Yadav,"
NOT satisfied.



  Used for 30  daysRemote response time seem to be increasing.1.5v amazon basics cells have died in just 3 weeks.New batteries gone in 1 week, its draining battery , remote shows low battery everytime. It refuses to respond, stops working intermittently.Customer care guys have only one solution to reatart fire tv, reboot, reset remote and any of these didn't work.Seems to be a hardware issue. I need a replacement.

",0
35,Geethapriya,"
Sony LIV not working on 3rd Gen Stick as promised



  During Prime day sale, 3rd Gen Stick supposed to come with Sony LIV, Zee5 and Voot Subscription as shown while booking the item. But it is not working. Please do the needful

",0
36,VG,"
Disappointed



  I bought it today.Power and volume control of the firestick remote not working.I had called the customer care and after one and a half hour of trying different trouble shooting methods, I was told that my TV is not compatible..if that was the case, there was no need to try all methods right !!What kind of LCD Tv is compatible is not mentioned in the product information.I would have bought the lesser priced 2nd generation model in that case.Very disappointing.Amazon needs to look into this ..

",0
37,Tarun kumar,"
Damage packet and item missing



  Order on 4th april, deliveey was expecting 24th april, but received on 1st may 2021, after i open the packet, item an missing.. so irresponsible service.

",0
38,Amazon Customer,"
Faulty product. donot use it it will destroy your tv



  i bought this product and since yesterday its started creating problem. When i connect it to my tv, the tv simply restart again and again. i called sony Tv technician and  he checked and said tv is fine but this firestick is faulty which is creating thia problem. kindly refund the amount and take back your faulty product.

",0
39,Moshin lalani,"
So far so good.



  Just additional remote buttons, rest everything remais the same.

",1
40,P S Saji,"
Inconsistence in maintaining Wifi Connectivity



  The device if connected with Wifi and detect internet, works amazingly. But the challenge I faced is that getting it started when I first connected it was a 2 hour ordeal. The device connected to my wifi but was saying 'No internet'. I have to reset the wire stick multiple time which did not work. Then I had do factory reset some 2-3 time, after which finally the 'No internet' error disappeared. After that the device worked fine for a month.After than again the Wifi connected but 'no internet' issue started. I have did a factory reset now, but the issue still persist. At the time of posting the this review the issue was not fixed. I hope it get fixed

",0
41,Subhadeep Dey,"
Fire Magical TV Stick!!!!



  Fire tv stick 3rd gen is a magical device. Got this for my non-smart 2018 Sony TV.Streaming quality is 1080p max with Dolby Atmos. For Dolby Atmos you will need separate Dolby Atmos enabled soundbar/system to work.Supports all apps almost like YouTube, Prime video, Amazon music, Netflix, Voot, Zee5, Disney+hotstar, Apple TV etc. You may require separate subscription for each app.Bluetooth remote is very responsive with inbuilt Alexa button.You will require high speed unlimited broadband connection to run this otherwise it may not work properly.Got it on the prime day at just Rs.2099. Thanks to Amazon for fast delivery.

",1
42,Prateek H,"
User friendly and extremely simple to use



  This device is something that I now regret not having bought earlier. Its super easy to use, more so with its voice control feature, which makes tuning into your favourite channel/music/video a breeze. I am using it with my old Sony Led TV (bought in 2011) which does not have internet or bluetooth. The experience is simply amazing. A highly recommended product even for new-age smart TVs because it makes toggling between different OTT providers super easy and fun. The only problem that I am having is connecting the remote to my TV's volume/power controls.Mine is a 3rd Gen, 2021 Firetv and I got it during a flash sale for a good discount @2699/-Tip: Watchout for any sales and jump on the opportunity.

",1
43,Amazon Customer,"
Fail to connect to Amazon site



  https://in.amazonforum.com/s/question/0D54P00008QmKIPSA3/fail-to-connect-to-amazoncomPosted issue detail at forum too.WIFI connection successful. But fails to connect to amazon.com.And hence fire tv update fails.Tried plugin, out of power cord of fire stick, router etc, nothing worked.Tried factory reset( back key + right side of navigation circle) : factory reset doesn't occur.note: My WIFI connection is good. My LG TV is working fine and has prime video working fine.This is the first time am trying fire stick on my LG TV.if no response from customer care, will return product.

",0
44,Amazon Customer,"
Not compatible with SONY LED Tv



  First I bought fire tv lite stick which worked with SONY LED Tv 2012 model .But felt lite tv stick remote was cumbersome has it did not have volume,power and direct app buttons. Needed multiple remotes for smooth operation. So I went for 3rd generation fire tv stick which had all the buttons on single remote. But 3rd generation stick could not be paired with SONY TV after multiple attempts, changing batteries and lot of trouble shooting. Wish Amazon mentioned the names of Tvs with which this fire tv stick is compatible, it would have saved time and effort.So returned the stick and asked for refund.

",1
45,Rajesh Kumar,"
Thrid Generation UI and Remote is worst quality. Not really happy.



  The quality of remote is really worst not sure whether its bcos of made in India. The touch and feel of remote shows the quality, since i have used 2 generation of firestick devices. Its not like previous one. And the UI is different from 2nd generation. And totally i don't like it. The UI looks like smart tv.

",0
46,Godwyn Francis,"
Atmos works only on Netflix



  Overall this is a great product.However i will give 1 star for the atmos feature. As its providing atmos signal only on netflix and NOT on prime video, hotstar or apple tv appWhen i contacted amazon customer service the guy udhay searched for answers half an hour and ultimately suggested to try factory reset. My god. The device arrived yesterday in factory settings only and its not even 24 since setup. So how would factory reset help??Amazon guys font seem to have any clue about atmos

",1
47,Murali CV,"
Did not work with Sony LCD TV



  I had lots of issues with my installation. Tried all options in spite the device did not work to my satisfaction. Ultimately I returned after a day.

",0
48,arijit s.,"
Amazing product from Amazon



  Simply an amazing product from Amazon. It's converted my 8 years old LED tv to smart tv with Ultra HD picture quality. You just need a broadband connection with WiFi that's enough it will run live TV's, shows, entertainment everything. Thank you Amzon for promt delivery. Got the product in Rs 2799 as special discount

",1
49,Harvinder Sharma,"
Device that saved my money



  I have a Micromax led around 7 years old and I was about to sell and buy a smart one, but this device made my unsmart LED a very Smart oneEasy to use, the picture quality is awesome and Alexa is very much helpfulApps are easily downloadable and games for the kids are thereThe only setback is the volume button is not on the remote that we can manage.overall 10 on 10 device.

",1
50,Farhan nazeer,"
Value for money



  The voice search is bad ,while searching it only gives results realted to Amazon prime video contents and not any other platform even, but when we enter a app and do the voice search it works fine.While connecting a Bluetooth headphone it's volume can't be controlled by the fire tv remote and will be set to maximum volume so can only be changed if the headphone itself has volume control feature.The appstore is that from Amazon itself.And there is limited apps on the Amazon appstore.And also there is no 5.1 sound support even though it does support Dolby digital and digital Plus.The remote is functional and good.For watching live tv except for 2 or 3 free apps paid subscription is required.Edit:- after about 4 to5 months the power adaptor got damaged but  got a new one  under warrenty.

",1
51,Fahd Saleem,"
Product is amazing



  Product is awesome. But disappointed with cost.  When i ordered this on 14th june 21, i paid 3999 rs. I wanted another 1 so tried ordering it again saw the price slashed to 3199 rs. Felt looted types. Its not 800rs which are shortcoming, but people boast saying they got it for lesser price which hurts ur ego.Else this is a fantastic product.

",1
52,Abin Santhosh,"
Super Fast !!



  Works Great. No issues. The menu navigation is butter smooth. Initially had issue with upgrades during installation. The device simply keeps restarting. However I did a factory reset and tried again. And this time it downloaded and installed the upgrades and went to the setup screen without any problems. Using it on a Epson projector setup with the help of a hdmi splitter. Fire Stick has Bluetooth, so audio is connected to Sony 5.1 speakers Using Bluetooth. Finally true home theater experience.

",1
53,Shailendra Patel,"
One of the best piece of hardware that I have ever bought



  This review is for the 2021 version. Got it for ₹2400 in prime sale. Following is the summary:1. Easy to setup, takes time though (especially for the update(s)).2. Runs on fire OS that is a fork of the Android operating system, so the appstore might not have everything, but you can sideload apps using the debug option (although, not recommended).3. Screencast worked with OnePlus and Mi phones.4. Voice search works on YouTube and other apps, but using mobile to search through on screen keyboard was easier.5. Bluetooth devices work, you can even add game controllers.6. Streaming quality is great even on 1080p, I thought koryo TV's are bad, but this device delivered a great experience.7. Power button and volume buttons are mapped to the TV, the TV remote is useless if you are using Fire Stick, so for volume control and power, you will use this device, and you can tuck away the TV remote for good.

",1
54,Aditya,"
Decide for you’re self.



  1) cost in India and cost in USA too much  difference2) Hardware wise we need 2gb ram  and 16gb storage as minimum.3) inability to control Bluetooth volume from  fire stick is a deal breaker4) Inability to decode and provide Dolby  atmos via Bluetooth or HDMI is a Real deal  breaker. Should have opted for Nokia  streamer where in it is available.  My Laptop can do headphone Dolby Atmos  by buying the license from Microsoft store.5) Unable to switch off Samsung Dce32  signage display via power button on the  fire stick remote6) unable to select 1080 60hz or 30 hz video  on YouTube if it’s available when viewing  same video on laptop.

",0
55,M Singh,"
Works like a charm... installation wasn't smooth



  All that was expected - Turned my non-smart tv into an android one. As long as your TV has an HDMI port and supports at least 720p (HD ready) it should work. Otherwise additional gadget may be required.Setup was tricky though. I can understand why some people gave up and returned the product. Here's an advice:1. At first prompt choose eng US as language.2. After filling account details it shows an OTP to register the device. You'll expect an email or a notification in amazon app to provide the OTP. But the email/notification never arrives. This is the frustrating part.3. Go to amazon.com/tv (the instruction appears on screen) from your PC or phone browser to provide the OTP. That's it.4. My firestick kept restarting (rebooting) throughout the setup process and I had to re-start the task many times. I thought mine was a faulty stick. Then I made sure the HDMI connection and power connection were firmly secured (tightened). That solved the problem.

",1
56,Dr HRG,"
New firetv stick 2021 a must buy!!!



  Just perfect very easy to install... amazing clarity 1080p... excellent remote with quick access to favourite app ...!!  application OTT strolling super fast ... Very good 5.1 Dolby sound...Alexa works perfect... a must buy... 2021 model

",1
57,Baaru,"
Garbage product - reviewed after 1 year of use



  Worked well out of the box, but performance markedly deteriorated within 3 months. After 6 months, was slow, laggy, unresponsive, and had to press buttons multiple times to recognize input. Drains batteries much more rapidly than other remotes, I need to replace the battery once a week now, and even then it doesn't work. Without doubt the worst, most overpriced purchase I have ever made on Amazon. Please don't be fooled by the positive reviews, most of these are people who are excited about the new product but haven't yet used it for a year.

",0
58,Genuine buyer,"
very waste product if you purchase it for DOLBY ATMOS



  product description saying 2021 model.. but the firetv telling its 2020 version. zebronics 9800 DWS PRO DOLBY ATMOS SOUND BAR showing DOLBY SURROUND when playing selected Dolby atmos movies (eg: CARNIVAL RAW) from prime ( we can't see a single atmos label in any title). its a fake business telling this stick supports Dolby atmos- DOLBY DIGITAL PLUS is maximum available audio but showing Dolby surround in sound bar. Airtel xtream box doing great job than this.

",0
59,Imsachin,"
Don't upgrade if you are having Fire stick 3rd generation



  The Product is good but don't buy if you have fire stick 3rd generation no difference in processor same 1.7 GHz processor just the major difference is in remote which have shortcut keys for Netflix and prime video, if you are getting firestick 2020 from retail market buy it don't waste money on this 2021 stick.

",1
60,Rajasekaran V,"
Remote pairing issue..



  The first stick had issues with remote pairing and was stuck at setup stage. Got the replacement and the same issue again. Remote is not pairing. Now seeing so many commentsand understand that the latest manufacturing has some issue. Useless... now returning it.

",0
61,SUMIT KUMAR SHAW,"
Best substitute for android box/stick but beware of black home screen fixed by 3rd reset.



  This is the best option to make your hdmi capable tv to smart tv.But after 7days at 18th October 2021, after I start fire tv stick it's home screen goes black. I tried all method like deregistration, restart, factory reset etc but problem still persist.At last 3rd factory reset black screen problem is fixed. Please Amazon fix it by os update.So this problem can't happen again. So this product may not be long lasting.Black home screen problem persist due to slow wifi connection or low ram/cache memory, so don't download too much app. You should save 3gb space to run fire stick normal.

",1
62,Tottology,"
Needs better UI



  Overall a good uswful device but the setup is slow, the remote is extremely unfriendly and without numbers and alphabets typing is a pain. Better to use the mobile remote app of fire tv to navigate.And something not right with hotstar as it gets hidden everytime on the screen.Definitely they need to work on the UI and maybe UX. Pretty average product I'd say with a great marketing and space to be in as a first mover.

",1
63,Kunal,"
My 2nd Firestick



  This is my 2nd firestick, 1st one I bought on 2019 prime day for 2199. I got this for same price. First device worked fine till 1yr.After that there was problem with sound, sometime sound goes off and doesn't come back. After some day, remote started giving problem. Frequent disconnect battery drainage etc.I had to replace the old one. You can only buy all Amazon exclusive products on prime day as the price goes lower than expected.New device has new interface, faster screen load, and improved remote. Since far all my existing problem are not seen in new one. Hope this one goes till 2023 so that I can buy 4th gen on prime day, ha ha..

",1
64,Sudhir Rawat,"
Simple Smooth Streaming Solution



  I have been using it from more than a month and it is performing flawlessly. First thing i liked was perfectly packaged thing. Remote batteries dongle, HDMI adapter, charging brick. Second thing setting up was easy and full of information and text. The remote controls the TV as well On/OFF my VU TV was listed and there were almost all brands of TV available even the names which you might have never heard off.  Easy to install and the DONGLE is dual band can receive 5G and 2.5G wifi network. Streaming is super smooth no lags. The device itself is very powerful compared to the new  budget smart TVs that have a low RAM/ Speed processor. So surfing channels and using Alexa is breeze. Overall i would highly recommend to get this thing if you have a smart TV,Now all you need is just the remote plus everything hides behind the TV so no one can ever tell that the TV is non smart and has been converted :) For a full videos review you can check youtube video on my channel lightsky motion Pictures

",1
65,Sooraj,"
Good initial impression



  My first buy FireStickWas skeptical to go for the older Lite version or the newer 2021 one since the price difference was significantWent for thisGot it delivered very late probably due to non availabilityWorks smoothEasy to set upBest part is they provide extension HDMI.Resolution is only 1080p so I guess a max 42inch TV I guess.UI is smooth.Remote is handy and works really wellA very good device for older TV who are not interested to buy a new one just for the sake of smart featuresI would recommend this productBut at 3999₹, it is not cheap as well

",1
66,Neo,"
THE BEST streaming device... Ever.



  I have been looking for a good solution to steam various OTT platforms for a while. This one solves the problem perfectly.Apart fro usuals - streaming apps, games, platform support, I really like bluetooth connectivity now I can watch movies / shows without disturbing others around me.I dunno why I didn't go for it earlier.

",1
67,Zia Junaidi,"
Better than any smart tv.



  What I love:1. Voice search within apps like youtube, primevideo, hotstat etc..2. Voice search is very fast. I have another LG tv which has web os and it's very slow in searching.3. Stream quality is good4. Lots of apps and games5. Has Inbuilt Bluetooth. Connects to multiple bluetooth devices. And it also has good range and no lag. It even has the option to sync audio and video if you notice any lag. 💜6. Firestivk Remote can be used to control TV power and volume.What I don't like:Takes long to boot

",1
68,Venkatesh N.,"
Simply Wow product



  Super product, easy to setup, just plug and play, it takes you through simple configuration steps, only glitch is at sound configuration, you need to identify the correct (your) TV IR sound profile in advance settings, that's it you can start watching the contents on apps/channels through fire sticks.Purchased on sale time, over that seller provided discount coupon worth 300 rupees , 10% bank discount and Amazon privided special discount during sale 🕺💃ProsBuild quality is excellent.Easy to configure.Remote having more functionality, like sound buttons, switch on/off tv , extra buttons for dedicated apps like Prime vedio, Netflix, amazon music and apps buttonConsOnce found will update the review

",1
69,Haryhar,"
Compatibility issue



  The stick is not compatible with my Kodak Smart TV and popular application like Jio TV is also not installable in this third generation model. So highly dissatisfied. The issues to be addressed immediately otherwise the confidence of customers on this well known product of Amazo will be get effected adversely

",0
70,Amazon Customer,"
Black screen error



  I don’t know why it is showing black screen after 10 mins of useAnd then i have to restart it againThinking to return this productIf anybody can help , help it asap

",0
71,Viney Mittal,"
A manufacturing glitch



  There is a serious problem with the product. I have got it replaced it earlier also. The problem persists.Every time the powe gets off, even for a few seconds, on resuming of the power, the Fire Tv Stick does not recognise the IP address and you have to disconnect it and start again. A big manufacturing problem.- Viney Mitral

",0
72,lavnesh,"
Need to work on software/hardware.



  1: Take time to start.2: Not buttery smooth interface.3: In 2021 still they are giving Micro-USB, it should be Type-C.4: Hang most of the time. (I have only 4 app, Netflix, Prime, YouTube, Hotstar)

",0
73,Hari,"
Watch out for defective remote. It just does not pair !



  No matter how many hours you try. The remote simply refused to pair. Watched many videos, read articles and tried in all possible ways, still the result was same. it turned out to be a waste of money.

",0
74,Hardik,"
Good Product



  Picture Quality was Superb

",1
75,Nilesh Pandit,"
Amazon sent me a used product



  The product as such is working fine and is upto the task. But when i got this product and tried to use it, it was not a smooth process. Apparently i found that this was delivered to somebody else with name Harsha as i could see that persons account details in my Firestick. IT was continuously throwing error and was not allowing me to sign in with my Amazon account. I had to call Amazon support after  which they ask me to do a factory reset post which it started fresh where i had to download all other apps, the earlier login user had gone and i was able to create my login and then eventually use my Firestick. But I am still disappointed as looks like this was refurbished product which was sent to me.

",0
76,balavenkatesh dwara,"
good



  First things first!!!!! The no-1 TV Stick in Indian Market...This 3rd Generation Fire TV stick has a superb build quality. The remote has a premium look & feels great in hand. The set-up with TV is just seamless.Now coming to the streaming quality. It is wow wow wow. (with good net /wifi). You need to install the apps you want to watch, like Hotstar, Zee5, Voot, Disney+, Hoichoi, etc, etc., etc. The Overall experience with these apps is really cool. The newly introduced Live section seamlessly connect to LIVE channels via the installed apps.

",1
